condition,n_nodes,seed,method,whole_graph_cx,decomposed_cx,chosen_cx,chosen_unsafe_rate,chosen_mean_feasible_mass,chosen_worst_feasible_mass
short_log,10,0,whole_graph,132,132,132,0.0,1.0,1.0
short_log,10,1,whole_graph,528,528,528,0.0,1.0,1.0
short_log,10,2,whole_graph,132,132,132,0.0,1.0,1.0
short_log,30,0,decomposed,1204,416,416,0.0,1.0,1.0
short_log,30,1,decomposed,1176,252,252,0.0,1.0,1.0
short_log,30,2,decomposed,1528,32,32,0.0,1.0,1.0
short_log,60,0,decomposed,2394,108,108,0.0,1.0,1.0
short_log,60,1,decomposed,3124,296,296,0.0,1.0,1.0
short_log,60,2,decomposed,2480,152,152,0.0,1.0,1.0
short_log,100,0,decomposed,2746,156,156,0.0,1.0,1.0
short_log,100,1,decomposed,2248,164,164,0.0,1.0,1.0
short_log,100,2,decomposed,1974,52,52,0.0,1.0,1.0
short_log,150,0,decomposed,2494,164,164,0.0,1.0,1.0
short_log,150,1,decomposed,1580,52,52,0.0,1.0,1.0
short_log,150,2,decomposed,3010,52,52,0.0,1.0,1.0
long_log,10,0,whole_graph,2164,5442,2164,0.16,0.982,0.8692
long_log,10,1,whole_graph,448,1744,448,0.81,0.9421,0.7928
long_log,10,2,whole_graph,1220,1566,1220,0.0,1.0,1.0
long_log,30,0,decomposed,15098,452,452,0.0,1.0,1.0
long_log,30,1,decomposed,16768,540,540,0.0811,0.9957,0.9012
long_log,30,2,decomposed,19810,478,478,0.0,1.0,1.0
long_log,60,0,decomposed,24796,2292,2292,0.325,0.9823,0.8448
long_log,60,1,decomposed,20254,740,740,0.0,1.0,1.0
long_log,60,2,decomposed,23304,5194,5194,0.0,1.0,1.0
long_log,100,0,decomposed,12538,574,574,0.1667,0.9927,0.9012
long_log,100,1,decomposed,9934,40,40,0.0,1.0,1.0
long_log,100,2,decomposed,11048,104,104,0.0,1.0,1.0
long_log,150,0,decomposed,10444,2112,2112,0.0128,0.9983,0.8692
long_log,150,1,decomposed,11566,3050,3050,0.0,1.0,1.0
long_log,150,2,decomposed,10464,1516,1516,0.1538,0.9988,0.9775
