condition,n_nodes,n_seeds_decomposed_won,n_seeds_total,cx_mean,cx_std,cx_min,cx_max,unsafe_rate_mean,mean_feasible_mass_mean,worst_feasible_mass_min
short_log,10,0,3,264,186.7,132,528,0.0,1.0,1.0
short_log,30,3,3,233.3,157.3,32,416,0.0,1.0,1.0
short_log,60,3,3,185.3,80.3,108,296,0.0,1.0,1.0
short_log,100,3,3,124,51.0,52,164,0.0,1.0,1.0
short_log,150,3,3,89.3,52.8,52,164,0.0,1.0,1.0
long_log,10,0,3,1277.3,701.7,448,2164,0.3233,0.9747,0.7928
long_log,30,3,3,490,36.9,452,540,0.027,0.9986,0.9012
long_log,60,3,3,2742,1846.0,740,5194,0.1083,0.9941,0.8448
long_log,100,3,3,239.3,238.1,40,574,0.0556,0.9976,0.9012
long_log,150,3,3,2226,631.4,1516,3050,0.0555,0.999,0.8692
