n_nodes,seed,n_qubits,n_walked_trees,n_terms,n_exact_terms,n_approximate_terms,mean_term_leakage_rate,max_term_leakage_rate,fully_connected_on_walk_sample,n_starting_trees_surveyed,n_unsafe,unsafe_rate,worst_feasible_mass,mean_feasible_mass,build_elapsed_s,survey_elapsed_s
10,0,14,267,30,0,30,0.1404,0.2174,True,300,133,0.4433,0.8005,0.9798,1.0,0.2
10,1,14,267,27,0,27,0.1032,0.2276,True,300,154,0.5133,0.7207,0.9631,1.0,0.1
10,2,14,246,29,0,29,0.1266,0.3077,True,300,103,0.3433,0.6396,0.9868,0.9,0.2
30,0,34,277,106,4,102,0.1085,0.3333,True,300,98,0.3267,0.5709,0.9591,3.3,0.6
30,1,34,233,80,1,79,0.1207,0.3913,True,300,64,0.2133,0.3751,0.96,2.7,0.8
30,2,34,285,104,7,97,0.1241,0.3714,True,300,55,0.1833,0.6568,0.9856,2.8,0.6
60,0,64,277,203,120,83,0.0673,0.1905,True,300,43,0.1433,0.6328,0.9805,3.3,1.3
60,1,64,190,116,44,72,0.1834,0.4,True,300,63,0.21,0.7704,0.9892,2.3,1.7
60,2,64,193,130,44,86,0.1146,0.3125,True,300,96,0.32,0.6568,0.9693,2.7,1.6
100,0,104,170,124,85,39,0.1416,0.4,True,300,100,0.3333,0.5574,0.9589,3.0,3.4
100,1,104,184,146,96,50,0.1425,0.375,True,300,110,0.3667,0.2833,0.9529,3.5,2.8
100,2,104,166,129,89,40,0.1266,0.3333,True,300,88,0.2933,0.6568,0.9611,3.1,2.7
150,0,154,126,112,97,15,0.1463,0.2857,True,300,50,0.1667,0.8692,0.9952,3.0,5.8
150,1,154,162,144,124,20,0.1921,0.375,True,300,72,0.24,0.8597,0.9867,5.1,7.9
150,2,154,151,115,93,22,0.1488,0.2903,True,300,19,0.0633,0.7556,0.9908,3.4,2.5
