condition,n_nodes,seed,k_ties,n_qubits,n_terms,active_terms,fully_connected,cx_count,depth,unsafe_rate,mean_feasible_mass,worst_feasible_mass
short_log,10,0,3,12,6,6,True,96,198,0.19,0.9881,0.8863
short_log,10,1,3,12,5,5,True,224,432,0.94,0.9305,0.8692
short_log,10,2,3,12,6,6,True,96,194,0.27,0.978,0.8863
short_log,30,0,5,34,13,4,True,88,184,0.0,1.0,1.0
short_log,30,1,5,34,14,7,True,208,266,0.0,1.0,1.0
short_log,30,2,5,34,15,7,True,100,186,0.36,0.9533,0.8692
short_log,60,0,6,65,19,0,True,0,0,0.0,1.0,1.0
short_log,60,1,6,65,21,0,True,0,0,0.0,1.0,1.0
short_log,60,2,6,65,20,0,True,0,0,0.0,1.0,1.0
short_log,100,0,7,106,19,1,True,40,91,0.0,1.0,1.0
short_log,100,1,7,106,19,1,True,40,91,0.0,1.0,1.0
short_log,100,2,7,106,19,0,True,0,0,0.0,1.0,1.0
short_log,150,0,7,156,16,3,True,84,94,0.45,0.972,0.8863
short_log,150,1,7,156,14,1,True,40,91,0.0,1.0,1.0
short_log,150,2,7,156,23,1,True,40,91,0.0,1.0,1.0
short_linear,10,0,2,11,4,4,True,16,23,0.0,1.0,1.0
short_linear,10,1,2,11,4,4,True,88,192,0.15,0.9804,0.8692
short_linear,10,2,2,11,4,4,True,88,194,0.19,0.9871,0.8863
short_linear,30,0,5,34,13,4,True,88,184,0.0,1.0,1.0
short_linear,30,1,5,34,14,7,True,208,266,0.0,1.0,1.0
short_linear,30,2,5,34,15,7,True,100,186,0.36,0.9533,0.8692
short_linear,60,0,9,68,28,0,True,0,0,0.0,1.0,1.0
short_linear,60,1,9,68,33,0,True,0,0,0.0,1.0,1.0
short_linear,60,2,9,68,28,0,True,0,0,0.0,1.0,1.0
short_linear,100,0,15,114,36,0,True,0,0,0.0,1.0,1.0
short_linear,100,1,15,114,62,0,True,0,0,0.0,1.0,1.0
short_linear,100,2,15,114,42,0,True,0,0,0.0,1.0,1.0
short_linear,150,0,23,172,50,0,True,0,0,0.0,1.0,1.0
short_linear,150,1,23,172,53,0,True,0,0,0.0,1.0,1.0
short_linear,150,2,23,172,32,0,True,0,0,0.0,1.0,1.0
long_log,10,0,3,12,12,12,True,192,424,1.0,0.8949,0.7426
long_log,10,1,3,12,10,7,True,208,452,0.26,0.9805,0.8692
long_log,10,2,3,12,15,14,True,308,548,0.0,1.0,1.0
long_log,30,0,5,34,106,1,True,4,12,0.0,1.0,1.0
long_log,30,1,5,34,80,15,True,96,133,0.0,1.0,1.0
long_log,30,2,5,34,104,0,True,0,0,0.0,1.0,1.0
long_log,60,0,6,65,206,0,True,0,0,0.0,1.0,1.0
long_log,60,1,6,65,176,4,True,124,91,0.0,1.0,1.0
long_log,60,2,6,65,138,3,True,84,177,0.0,1.0,1.0
long_log,100,0,7,106,141,27,True,864,1141,0.0,1.0,1.0
long_log,100,1,7,106,126,21,True,768,1034,0.0,1.0,1.0
long_log,100,2,7,106,129,5,True,164,176,0.0,1.0,1.0
long_log,150,0,7,156,129,53,True,1608,2795,0.0,1.0,1.0
long_log,150,1,7,156,163,53,True,1996,3501,0.0,1.0,1.0
long_log,150,2,7,156,124,28,True,968,1132,0.0,1.0,1.0
long_linear,10,0,2,11,10,10,True,184,394,0.26,0.9662,0.7704
long_linear,10,1,2,11,9,9,True,36,100,1.0,0.9093,0.7928
long_linear,10,2,2,11,9,7,True,64,147,0.0,1.0,1.0
long_linear,30,0,5,34,106,1,True,4,12,0.0,1.0,1.0
long_linear,30,1,5,34,80,15,True,96,133,0.0,1.0,1.0
long_linear,30,2,5,34,104,0,True,0,0,0.0,1.0,1.0
long_linear,60,0,9,68,210,0,True,0,0,0.0,1.0,1.0
long_linear,60,1,9,68,169,4,True,124,175,0.0,1.0,1.0
long_linear,60,2,9,68,212,1,True,40,91,0.0,1.0,1.0
long_linear,100,0,15,114,145,11,True,468,699,0.0,1.0,1.0
long_linear,100,1,15,114,156,15,True,528,530,0.02,0.9974,0.8692
long_linear,100,2,15,114,155,0,True,0,0,0.0,1.0,1.0
long_linear,150,0,23,172,151,14,True,480,627,0.02,0.9974,0.8692
long_linear,150,1,23,172,217,34,True,1492,2154,0.0,1.0,1.0
long_linear,150,2,23,172,176,3,True,120,261,0.0,1.0,1.0
