condition,n_nodes,k_ties,n_qubits,n_terms,active_terms_mean,cx_mean,cx_std,cx_min,cx_max,unsafe_rate_mean,mean_feasible_mass_mean,worst_feasible_mass_min,all_connected
short_log,10,3,12,6,5.7,138.7,60.3,96,224,0.4667,0.9655,0.8692,True
short_log,30,5,34,13,6,132,54.0,88,208,0.12,0.9844,0.8692,True
short_log,60,6,65,19,0,0,0.0,0,0,0.0,1.0,1.0,True
short_log,100,7,106,19,0.7,26.7,18.9,0,40,0.0,1.0,1.0,True
short_log,150,7,156,16,1.7,54.7,20.7,40,84,0.15,0.9907,0.8863,True
short_linear,10,2,11,4,4,64,33.9,16,88,0.1133,0.9892,0.8692,True
short_linear,30,5,34,13,6,132,54.0,88,208,0.12,0.9844,0.8692,True
short_linear,60,9,68,28,0,0,0.0,0,0,0.0,1.0,1.0,True
short_linear,100,15,114,36,0,0,0.0,0,0,0.0,1.0,1.0,True
short_linear,150,23,172,50,0,0,0.0,0,0,0.0,1.0,1.0,True
long_log,10,3,12,12,11,236,51.3,192,308,0.42,0.9585,0.7426,True
long_log,30,5,34,106,5.3,33.3,44.3,0,96,0.0,1.0,1.0,True
long_log,60,6,65,206,2.3,69.3,51.7,0,124,0.0,1.0,1.0,True
long_log,100,7,106,141,17.7,598.7,309.8,164,864,0.0,1.0,1.0,True
long_log,150,7,156,129,44.7,1524,423.9,968,1996,0.0,1.0,1.0,True
long_linear,10,2,11,10,8.7,94.7,64.2,36,184,0.42,0.9585,0.7704,True
long_linear,30,5,34,106,5.3,33.3,44.3,0,96,0.0,1.0,1.0,True
long_linear,60,9,68,210,1.7,54.7,51.7,0,124,0.0,1.0,1.0,True
long_linear,100,15,114,145,8.7,332,236.0,0,528,0.0067,0.9991,0.8692,True
long_linear,150,23,172,151,17,697.3,580.8,120,1492,0.0067,0.9991,0.8692,True
