condition,n_nodes,seed,cost_alpha,k_ties,n_qubits,n_terms,n_approximate_terms,fully_connected,cx_count,depth,unsafe_rate,mean_feasible_mass,worst_feasible_mass
short_log,10,0,0.03,3,12,6,0,True,132,274,0.0,1.0,1.0
short_log,10,1,0.03,3,12,5,0,True,528,1082,0.0,1.0,1.0
short_log,10,2,0.03,3,12,6,0,True,132,271,0.0,1.0,1.0
short_log,10,0,0.1,3,12,6,0,True,132,274,0.0,1.0,1.0
short_log,10,1,0.1,3,12,5,0,True,528,1082,0.0,1.0,1.0
short_log,10,2,0.1,3,12,6,0,True,132,271,0.0,1.0,1.0
short_log,30,0,0.03,5,34,13,13,True,748,1416,0.17,0.9903,0.8863
short_log,30,1,0.03,5,34,14,12,True,864,1488,0.15,0.9883,0.8692
short_log,30,2,0.03,5,34,15,15,True,1040,1959,0.62,0.979,0.8005
short_log,30,0,0.1,5,34,13,13,True,16,23,0.0,1.0,1.0
short_log,30,1,0.1,5,34,14,12,True,304,488,0.45,0.9755,0.8712
short_log,30,2,0.1,5,34,15,15,True,60,98,0.25,0.9677,0.8692
short_log,60,0,0.03,6,65,19,18,True,520,965,0.0,1.0,1.0
short_log,60,1,0.03,6,65,21,21,True,456,726,0.0,1.0,1.0
short_log,60,2,0.03,6,65,20,20,True,560,938,0.05,0.9962,0.8863
short_log,60,0,0.1,6,65,19,18,True,104,197,0.0,1.0,1.0
short_log,60,1,0.1,6,65,21,21,True,0,0,0.0,1.0,1.0
short_log,60,2,0.1,6,65,20,20,True,0,0,0.0,1.0,1.0
short_log,100,0,0.03,7,106,19,15,True,496,804,0.21,0.9776,0.8692
short_log,100,1,0.03,7,106,19,15,True,640,851,0.03,0.9961,0.8692
short_log,100,2,0.03,7,106,19,18,True,144,282,0.06,0.9922,0.8692
short_log,100,0,0.1,7,106,19,15,True,416,738,0.17,0.9788,0.8692
short_log,100,1,0.1,7,106,19,15,True,288,435,0.03,0.9961,0.8692
short_log,100,2,0.1,7,106,19,18,True,104,196,0.0,1.0,1.0
short_log,150,0,0.03,7,156,16,12,True,1500,2749,0.11,0.9918,0.8692
short_log,150,1,0.03,7,156,14,14,True,456,777,0.0,1.0,1.0
short_log,150,2,0.03,7,156,23,18,True,744,1355,0.04,0.9961,0.8692
short_log,150,0,0.1,7,156,16,12,True,456,807,0.03,0.9961,0.8692
short_log,150,1,0.1,7,156,14,14,True,0,0,0.0,1.0,1.0
short_log,150,2,0.1,7,156,23,18,True,520,908,0.04,0.9961,0.8692
short_linear,10,0,0.03,2,11,4,0,True,16,23,0.0,1.0,1.0
short_linear,10,1,0.03,2,11,4,0,True,124,270,0.0,1.0,1.0
short_linear,10,2,0.03,2,11,4,0,True,124,271,0.0,1.0,1.0
short_linear,10,0,0.1,2,11,4,0,True,16,23,0.0,1.0,1.0
short_linear,10,1,0.1,2,11,4,0,True,124,270,0.0,1.0,1.0
short_linear,10,2,0.1,2,11,4,0,True,124,271,0.0,1.0,1.0
short_linear,30,0,0.03,5,34,13,13,True,748,1416,0.17,0.9903,0.8863
short_linear,30,1,0.03,5,34,14,12,True,864,1488,0.15,0.9883,0.8692
short_linear,30,2,0.03,5,34,15,15,True,1040,1959,0.62,0.979,0.8005
short_linear,30,0,0.1,5,34,13,13,True,16,23,0.0,1.0,1.0
short_linear,30,1,0.1,5,34,14,12,True,304,488,0.45,0.9755,0.8712
short_linear,30,2,0.1,5,34,15,15,True,60,98,0.25,0.9677,0.8692
short_linear,60,0,0.03,9,68,28,27,True,184,197,0.12,0.9858,0.8692
short_linear,60,1,0.03,9,68,33,32,True,104,197,0.02,0.9974,0.8692
short_linear,60,2,0.03,9,68,28,26,True,312,571,0.04,0.9948,0.8692
short_linear,60,0,0.1,9,68,28,27,True,104,197,0.05,0.9935,0.8692
short_linear,60,1,0.1,9,68,33,32,True,104,197,0.02,0.9974,0.8692
short_linear,60,2,0.1,9,68,28,26,True,208,393,0.04,0.9948,0.8692
short_linear,100,0,0.03,15,114,36,32,True,416,715,0.18,0.9753,0.7556
short_linear,100,1,0.03,15,114,62,51,True,1080,1671,0.23,0.9701,0.6568
short_linear,100,2,0.03,15,114,42,33,True,936,1637,0.2,0.975,0.7556
short_linear,100,0,0.1,15,114,36,32,True,416,715,0.18,0.9753,0.7556
short_linear,100,1,0.1,15,114,62,51,True,1080,1671,0.23,0.9701,0.6568
short_linear,100,2,0.1,15,114,42,33,True,936,1637,0.2,0.975,0.7556
short_linear,150,0,0.03,23,172,50,36,True,1456,2507,0.25,0.9679,0.7556
short_linear,150,1,0.03,23,172,53,47,True,560,864,0.17,0.9778,0.8692
short_linear,150,2,0.03,23,172,32,22,True,1040,1778,0.27,0.973,0.7556
short_linear,150,0,0.1,23,172,50,36,True,1456,2507,0.25,0.9679,0.7556
short_linear,150,1,0.1,23,172,53,47,True,560,864,0.17,0.9778,0.8692
short_linear,150,2,0.1,23,172,32,22,True,1040,1778,0.27,0.973,0.7556
long_log,10,0,0.03,3,12,12,9,True,2164,4097,0.16,0.982,0.8692
long_log,10,1,0.03,3,12,10,10,True,208,452,0.26,0.9805,0.8692
long_log,10,2,0.03,3,12,15,8,True,1116,2078,0.0,1.0,1.0
long_log,10,0,0.1,3,12,12,9,True,396,789,1.0,0.8946,0.7542
long_log,10,1,0.1,3,12,10,10,True,208,452,0.26,0.9805,0.8692
long_log,10,2,0.1,3,12,15,8,True,452,866,0.0,1.0,1.0
long_log,30,0,0.03,5,34,106,102,True,792,1213,0.0,1.0,1.0
long_log,30,1,0.03,5,34,80,79,True,464,892,0.08,0.9895,0.8692
long_log,30,2,0.03,5,34,104,97,True,1176,1723,0.01,0.9987,0.8692
long_log,30,0,0.1,5,34,106,102,True,356,538,0.0,1.0,1.0
long_log,30,1,0.1,5,34,80,79,True,200,207,0.0,1.0,1.0
long_log,30,2,0.1,5,34,104,97,True,728,1289,0.01,0.9987,0.8692
long_log,60,0,0.03,6,65,206,107,True,9792,16179,0.28,0.9604,0.6568
long_log,60,1,0.03,6,65,176,97,True,9592,16415,0.2,0.9788,0.7541
long_log,60,2,0.03,6,65,138,98,True,5290,8972,0.05,0.9934,0.7556
long_log,60,0,0.1,6,65,206,107,True,9632,16020,0.28,0.9604,0.6568
long_log,60,1,0.1,6,65,176,97,True,8372,14451,0.19,0.9789,0.7556
long_log,60,2,0.1,6,65,138,98,True,4284,7282,0.05,0.9934,0.7556
long_log,100,0,0.03,7,106,141,39,True,10340,18430,0.48,0.9101,0.3051
long_log,100,1,0.03,7,106,126,39,True,8512,14374,0.43,0.9296,0.5709
long_log,100,2,0.03,7,106,129,42,True,7280,11087,0.48,0.9073,0.5709
long_log,100,0,0.1,7,106,141,39,True,9696,17234,0.48,0.9101,0.3051
long_log,100,1,0.1,7,106,126,39,True,7924,13309,0.42,0.9296,0.5709
long_log,100,2,0.1,7,106,129,42,True,7120,10919,0.48,0.9073,0.5709
long_log,150,0,0.03,7,156,129,29,True,9192,16762,0.16,0.9773,0.6568
long_log,150,1,0.03,7,156,163,22,True,10820,18424,0.2,0.9812,0.7556
long_log,150,2,0.03,7,156,124,22,True,8784,14240,0.45,0.9256,0.1228
long_log,150,0,0.1,7,156,129,29,True,8068,14417,0.16,0.9772,0.6568
long_log,150,1,0.1,7,156,163,22,True,10744,18350,0.2,0.9812,0.7556
long_log,150,2,0.1,7,156,124,22,True,8484,13535,0.45,0.9256,0.1228
long_linear,10,0,0.03,2,11,10,7,True,1600,3019,0.19,0.9811,0.8153
long_linear,10,1,0.03,2,11,9,7,True,1996,3823,0.27,0.9796,0.7834
long_linear,10,2,0.03,2,11,9,0,True,312,603,0.0,1.0,1.0
long_linear,10,0,0.1,2,11,10,7,True,24,67,0.24,0.9657,0.7704
long_linear,10,1,0.1,2,11,9,7,True,36,100,1.0,0.9093,0.7928
long_linear,10,2,0.1,2,11,9,0,True,312,603,0.0,1.0,1.0
long_linear,30,0,0.03,5,34,106,102,True,792,1213,0.0,1.0,1.0
long_linear,30,1,0.03,5,34,80,79,True,464,892,0.08,0.9895,0.8692
long_linear,30,2,0.03,5,34,104,97,True,1176,1723,0.01,0.9987,0.8692
