condition,n_nodes,cost_alpha,k_ties,n_qubits,cx_mean,cx_std,cx_min,cx_max,unsafe_rate_mean,mean_feasible_mass_mean,worst_feasible_mass_min,all_connected
short_log,10,0.03,3,12,264,186.7,132,528,0.0,1.0,1.0,True
short_log,10,0.1,3,12,264,186.7,132,528,0.0,1.0,1.0,True
short_log,30,0.03,5,34,884,120.0,748,1040,0.3133,0.9859,0.8005,True
short_log,30,0.1,5,34,126.7,126.7,16,304,0.2333,0.9811,0.8692,True
short_log,60,0.03,6,65,512,42.8,456,560,0.0167,0.9987,0.8863,True
short_log,60,0.1,6,65,34.7,49.0,0,104,0.0,1.0,1.0,True
short_log,100,0.03,7,106,426.7,208.3,144,640,0.1,0.9886,0.8692,True
short_log,100,0.1,7,106,269.3,128.1,104,416,0.0667,0.9916,0.8692,True
short_log,150,0.03,7,156,900,440.3,456,1500,0.05,0.996,0.8692,True
short_log,150,0.1,7,156,325.3,231.5,0,520,0.0233,0.9974,0.8692,True
short_linear,10,0.03,2,11,88,50.9,16,124,0.0,1.0,1.0,True
short_linear,10,0.1,2,11,88,50.9,16,124,0.0,1.0,1.0,True
short_linear,30,0.03,5,34,884,120.0,748,1040,0.3133,0.9859,0.8005,True
short_linear,30,0.1,5,34,126.7,126.7,16,304,0.2333,0.9811,0.8692,True
short_linear,60,0.03,9,68,200,85.7,104,312,0.06,0.9927,0.8692,True
short_linear,60,0.1,9,68,138.7,49.0,104,208,0.0367,0.9952,0.8692,True
short_linear,100,0.03,15,114,810.7,285.2,416,1080,0.2033,0.9735,0.6568,True
short_linear,100,0.1,15,114,810.7,285.2,416,1080,0.2033,0.9735,0.6568,True
short_linear,150,0.03,23,172,1018.7,366.1,560,1456,0.23,0.9729,0.7556,True
short_linear,150,0.1,23,172,1018.7,366.1,560,1456,0.23,0.9729,0.7556,True
long_log,10,0.03,3,12,1162.7,799.2,208,2164,0.14,0.9875,0.8692,True
long_log,10,0.1,3,12,352,104.4,208,452,0.42,0.9584,0.7542,True
long_log,30,0.03,5,34,810.7,291.0,464,1176,0.03,0.9961,0.8692,True
long_log,30,0.1,5,34,428,221.5,200,728,0.0033,0.9996,0.8692,True
long_log,60,0.03,6,65,8224.7,2076.7,5290,9792,0.1767,0.9775,0.6568,True
long_log,60,0.1,6,65,7429.3,2282.8,4284,9632,0.1733,0.9776,0.6568,True
long_log,100,0.03,7,106,8710.7,1257.1,7280,10340,0.4633,0.9157,0.3051,True
long_log,100,0.1,7,106,8246.7,1076.1,7120,9696,0.46,0.9157,0.3051,True
long_log,150,0.03,7,156,9598.7,879.5,8784,10820,0.27,0.9614,0.1228,True
long_log,150,0.1,7,156,9098.7,1175.8,8068,10744,0.27,0.9613,0.1228,True
long_linear,10,0.03,2,11,1302.7,718.9,312,1996,0.1533,0.9869,0.7834,True
long_linear,10,0.1,2,11,124,133.0,24,312,0.4133,0.9583,0.7704,True
long_linear,30,0.03,5,34,810.7,291.0,464,1176,0.03,0.9961,0.8692,True
long_linear,30,0.1,5,34,428,221.5,200,728,0.0033,0.9996,0.8692,True
long_linear,60,0.03,9,68,9932,1529.9,7772,11120,0.3433,0.9508,0.5709,True
long_linear,60,0.1,9,68,9526.7,1876.4,6876,10960,0.3267,0.9521,0.5709,True
long_linear,100,0.03,15,114,9652,555.9,8992,10352,0.57,0.891,0.4608,True
long_linear,100,0.1,15,114,9254.7,302.6,8912,9648,0.5667,0.8909,0.4608,True
long_linear,150,0.03,23,172,12828,2205.6,10824,15900,0.4833,0.9305,0.5709,True
long_linear,150,0.1,23,172,12280,2105.2,10144,15144,0.48,0.9316,0.5709,True
