condition,n_nodes,seed,k_ties,n_qubits,n_walked_trees,n_terms,n_approximate_terms,fully_connected,cx_count,depth,unsafe_rate,mean_feasible_mass,worst_feasible_mass,build_elapsed_s
short_log,10,0,3,12,24,6,0,True,132,274,0.0,1.0,1.0,0.0
short_log,10,1,3,12,16,5,0,True,528,1082,0.0,1.0,1.0,0.0
short_log,10,2,3,12,24,6,0,True,132,271,0.0,1.0,1.0,0.0
short_log,30,0,5,34,68,13,13,True,1204,2247,0.36,0.967,0.7727,0.2
short_log,30,1,5,34,60,14,12,True,1176,2039,0.29,0.9818,0.8692,0.2
short_log,30,2,5,34,66,15,15,True,1528,2868,0.77,0.9587,0.8117,0.3
short_log,60,0,6,65,56,19,18,True,2394,4326,0.22,0.9799,0.7556,0.5
short_log,60,1,6,65,59,21,21,True,3124,5778,0.2,0.9821,0.8692,0.6
short_log,60,2,6,65,66,20,20,True,2480,4563,0.33,0.973,0.8692,0.6
short_log,100,0,7,106,30,19,15,True,2746,5085,0.26,0.9751,0.8692,0.8
short_log,100,1,7,106,43,19,15,True,2248,3753,0.2,0.9865,0.8692,0.8
short_log,100,2,7,106,48,19,18,True,1974,3443,0.16,0.9806,0.8692,1.0
short_log,150,0,7,156,30,16,12,True,2494,4645,0.13,0.9852,0.7892,1.2
short_log,150,1,7,156,32,14,14,True,1580,2886,0.0,1.0,1.0,1.3
short_log,150,2,7,156,43,23,18,True,3010,5346,0.15,0.9895,0.8692,2.0
short_linear,10,0,2,11,9,4,0,True,16,23,0.0,1.0,1.0,0.0
short_linear,10,1,2,11,8,4,0,True,124,270,0.0,1.0,1.0,0.0
short_linear,10,2,2,11,8,4,0,True,124,271,0.0,1.0,1.0,0.0
short_linear,30,0,5,34,68,13,13,True,1204,2247,0.36,0.967,0.7727,0.2
short_linear,30,1,5,34,60,14,12,True,1176,2039,0.29,0.9818,0.8692,0.2
short_linear,30,2,5,34,66,15,15,True,1528,2868,0.77,0.9587,0.8117,0.3
short_linear,60,0,9,68,73,28,27,True,3688,6505,0.55,0.9398,0.7556,0.9
short_linear,60,1,9,68,99,33,32,True,5448,9844,0.52,0.9541,0.7741,1.2
short_linear,60,2,9,68,65,28,26,True,3164,5918,0.51,0.9547,0.7556,0.8
short_linear,100,0,15,114,81,36,32,True,4888,8826,0.45,0.9369,0.6568,2.2
short_linear,100,1,15,114,134,62,51,True,10826,18610,0.52,0.9338,0.661,4.0
short_linear,100,2,15,114,91,42,33,True,7954,13274,0.3,0.968,0.7556,2.5
short_linear,150,0,23,172,87,50,36,True,9248,16050,0.42,0.9495,0.5075,5.5
short_linear,150,1,23,172,100,53,47,True,11558,20574,0.43,0.9587,0.7556,6.5
short_linear,150,2,23,172,53,32,22,True,5948,9697,0.5,0.9431,0.7556,3.1
long_log,10,0,3,12,91,12,9,True,2164,4097,0.16,0.982,0.8692,0.1
long_log,10,1,3,12,77,10,10,True,448,969,0.81,0.9421,0.7928,0.1
long_log,10,2,3,12,90,15,8,True,1220,2278,0.0,1.0,1.0,0.1
long_log,30,0,5,34,277,106,102,True,15098,27355,0.25,0.9714,0.5709,3.2
long_log,30,1,5,34,233,80,79,True,16768,30820,0.41,0.9313,0.4313,2.5
long_log,30,2,5,34,285,104,97,True,19810,37054,0.18,0.9897,0.7875,2.7
long_log,60,0,6,65,282,206,107,True,24796,40411,0.41,0.9468,0.5709,4.2
long_log,60,1,6,65,239,176,97,True,20254,35832,0.36,0.9561,0.5832,3.6
long_log,60,2,6,65,206,138,98,True,23304,40855,0.22,0.987,0.7556,3.4
long_log,100,0,7,106,169,141,39,True,12538,22388,0.53,0.9099,0.3051,3.1
long_log,100,1,7,106,164,126,39,True,9934,17080,0.48,0.9087,0.3749,3.0
long_log,100,2,7,106,159,129,42,True,11048,17985,0.49,0.9073,0.5709,3.1
long_log,150,0,7,156,146,129,29,True,10444,18429,0.3,0.9751,0.6566,5.0
long_log,150,1,7,156,178,163,22,True,11566,19616,0.24,0.9771,0.7556,5.1
long_log,150,2,7,156,142,124,22,True,10464,17816,0.5,0.9179,0.1114,3.8
long_linear,10,0,2,11,40,10,7,True,1600,3019,0.19,0.9811,0.8153,0.0
long_linear,10,1,2,11,33,9,7,True,1996,3823,0.27,0.9796,0.7834,0.0
long_linear,10,2,2,11,23,9,0,True,312,603,0.0,1.0,1.0,0.0
long_linear,30,0,5,34,277,106,102,True,15098,27355,0.25,0.9714,0.5709,3.2
long_linear,30,1,5,34,233,80,79,True,16768,30820,0.41,0.9313,0.4313,2.6
long_linear,30,2,5,34,285,104,97,True,19810,37054,0.18,0.9897,0.7875,2.7
long_linear,60,0,9,68,285,210,98,True,24058,39843,0.41,0.9475,0.6568,4.4
long_linear,60,1,9,68,242,169,100,True,24216,42056,0.29,0.9685,0.7556,4.3
long_linear,60,2,9,68,281,212,98,True,22052,36655,0.63,0.8881,0.4962,4.8
long_linear,100,0,15,114,175,145,47,True,14418,25070,0.4,0.9646,0.7541,4.2
long_linear,100,1,15,114,186,156,49,True,16372,26670,0.79,0.8442,0.4962,4.3
long_linear,100,2,15,114,183,155,58,True,14180,23546,0.73,0.8161,0.3823,5.7
long_linear,150,0,23,172,173,151,35,True,12614,19786,0.48,0.939,0.6568,7.2
long_linear,150,1,23,172,244,217,40,True,20156,32446,0.54,0.9299,0.656,9.6
long_linear,150,2,23,172,193,176,44,True,18498,28468,0.51,0.9123,0.5709,9.6
