condition,n_nodes,k_ties,n_qubits,cx_mean,cx_std,cx_min,cx_max,depth_mean,depth_std,unsafe_rate_mean,mean_feasible_mass_mean,all_connected
short_log,10,3,12,264,186.7,132,528,542.3,381.6,0.0,1.0,True
short_log,30,5,34,1302.7,159.7,1176,1528,2384.7,352.2,0.4733,0.9692,True
short_log,60,6,65,2666,325.8,2394,3124,4889,636.0,0.25,0.9783,True
short_log,100,7,106,2322.7,319.6,1974,2746,4093.7,712.3,0.2067,0.9807,True
short_log,150,7,156,2361.3,591.3,1580,3010,4292.3,1034.8,0.0933,0.9916,True
short_linear,10,2,11,88,50.9,16,124,188,116.7,0.0,1.0,True
short_linear,30,5,34,1302.7,159.7,1176,1528,2384.7,352.2,0.4733,0.9692,True
short_linear,60,9,68,4100,976.9,3164,5448,7422.3,1729.1,0.5267,0.9495,True
short_linear,100,15,114,7889.3,2424.6,4888,10826,13570,3999.8,0.4233,0.9462,True
short_linear,150,23,172,8918,2302.1,5948,11558,15440.3,4461.4,0.45,0.9504,True
long_log,10,3,12,1277.3,701.7,448,2164,2448,1282.6,0.3233,0.9747,True
long_log,30,5,34,17225.3,1950.7,15098,19810,31743,4013.0,0.28,0.9641,True
long_log,60,6,65,22784.7,1890.3,20254,24796,39032.7,2270.5,0.33,0.9633,True
long_log,100,7,106,11173.3,1066.8,9934,12538,19151,2318.5,0.5,0.9086,True
long_log,150,7,156,10824.7,524.3,10444,11566,18620.3,747.2,0.3467,0.9567,True
long_linear,10,2,11,1302.7,718.9,312,1996,2481.7,1368.4,0.1533,0.9869,True
long_linear,30,5,34,17225.3,1950.7,15098,19810,31743,4013.0,0.28,0.9641,True
long_linear,60,9,68,23442,985.0,22052,24216,39518,2216.9,0.4433,0.9347,True
long_linear,100,15,114,14990,982.0,14180,16372,25095.3,1275.5,0.64,0.875,True
long_linear,150,23,172,17089.3,3236.1,12614,20156,26900,5286.0,0.51,0.9271,True
