condition,n_nodes,seed,k_ties,n_qubits_whole_graph,n_zones,total_n_terms,total_active_terms,total_cx,total_depth,n_masses_checked,unsafe_rate,mean_feasible_mass,worst_feasible_mass
short_log,10,0,3,12,1,6,6,132,274,25,0.0,1.0,1.0
short_log,10,1,3,12,1,5,5,528,1082,17,0.0,1.0,1.0
short_log,10,2,3,12,1,6,6,132,271,25,0.0,1.0,1.0
short_log,30,0,5,34,4,9,9,416,819,28,0.0,1.0,1.0
short_log,30,1,5,34,4,9,9,252,553,20,0.0,1.0,1.0
short_log,30,2,5,34,4,8,8,32,92,13,0.0,1.0,1.0
short_log,60,0,6,65,8,9,9,108,228,27,0.0,1.0,1.0
short_log,60,1,6,65,8,11,11,296,648,26,0.0,1.0,1.0
short_log,60,2,6,65,8,11,11,152,332,37,0.0,1.0,1.0
short_log,100,0,7,106,12,12,12,156,363,28,0.0,1.0,1.0
short_log,100,1,7,106,12,14,14,164,388,30,0.0,1.0,1.0
short_log,100,2,7,106,12,13,13,52,104,34,0.0,1.0,1.0
short_log,150,0,7,156,19,14,14,164,388,37,0.0,1.0,1.0
short_log,150,1,7,156,19,13,13,52,127,37,0.0,1.0,1.0
short_log,150,2,7,156,19,13,13,52,126,37,0.0,1.0,1.0
short_linear,10,0,2,11,1,4,4,16,23,10,0.0,1.0,1.0
short_linear,10,1,2,11,1,4,4,124,270,9,0.0,1.0,1.0
short_linear,10,2,2,11,1,4,4,124,271,9,0.0,1.0,1.0
short_linear,30,0,5,34,4,9,9,416,819,28,0.0,1.0,1.0
short_linear,30,1,5,34,4,9,9,252,553,20,0.0,1.0,1.0
short_linear,30,2,5,34,4,8,8,32,92,13,0.0,1.0,1.0
short_linear,60,0,9,68,8,15,15,348,749,39,0.0,1.0,1.0
short_linear,60,1,9,68,8,16,16,316,694,32,0.0,1.0,1.0
short_linear,60,2,9,68,8,14,14,564,1162,45,0.0,1.0,1.0
short_linear,100,0,15,114,12,25,25,1090,2128,62,0.3065,0.9687,0.6845
short_linear,100,1,15,114,12,28,28,1012,2023,56,0.0,1.0,1.0
short_linear,100,2,15,114,12,27,27,324,709,56,0.0,1.0,1.0
short_linear,150,0,23,172,19,43,43,1660,3376,111,0.2072,0.9854,0.7946
short_linear,150,1,23,172,19,42,42,1412,2809,115,0.2348,0.987,0.8841
short_linear,150,2,23,172,19,37,37,1964,3924,125,0.2,0.9859,0.7834
long_log,10,0,3,12,1,11,11,2292,4344,31,0.2581,0.9731,0.8863
long_log,10,1,3,12,1,10,10,528,1134,31,0.9032,0.9252,0.8001
long_log,10,2,3,12,1,11,11,1244,2353,31,0.0,1.0,1.0
long_log,30,0,5,34,4,9,9,452,893,21,0.0,1.0,1.0
long_log,30,1,5,34,4,11,11,1644,3155,37,0.0811,0.9957,0.9012
long_log,30,2,5,34,4,12,12,1002,1954,37,0.0,1.0,1.0
long_log,60,0,6,65,8,13,13,1032,1973,40,0.7,0.9636,0.7604
long_log,60,1,6,65,8,12,12,1096,2213,40,0.0,1.0,1.0
long_log,60,2,6,65,8,19,19,1808,3361,56,0.0,1.0,1.0
long_log,100,0,7,106,12,20,20,3392,5981,48,0.2292,0.9833,0.8395
long_log,100,1,7,106,12,15,15,4480,7819,50,0.0,1.0,1.0
long_log,100,2,7,106,12,14,8,104,235,42,0.0,1.0,1.0
long_log,150,0,7,156,19,21,21,856,1632,78,0.1154,0.991,0.8692
long_log,150,1,7,156,19,24,24,2108,3921,78,0.1154,0.9893,0.7875
long_log,150,2,7,156,19,19,19,990,1901,78,0.1538,0.9988,0.9775
long_linear,10,0,2,11,1,10,10,1600,3020,31,0.1613,0.9865,0.7875
long_linear,10,1,2,11,1,9,9,1996,3825,31,0.2581,0.986,0.8563
long_linear,10,2,2,11,1,9,9,312,603,24,0.0,1.0,1.0
long_linear,30,0,5,34,4,9,9,452,893,21,0.0,1.0,1.0
long_linear,30,1,5,34,4,11,11,1644,3155,37,0.0811,0.9957,0.9012
long_linear,30,2,5,34,4,12,12,1002,1954,37,0.0,1.0,1.0
long_linear,60,0,9,68,8,17,17,2534,4982,45,0.1111,0.9944,0.7875
long_linear,60,1,9,68,8,18,18,1832,3583,67,0.0896,0.9937,0.8153
long_linear,60,2,9,68,8,18,18,992,1867,48,0.2083,0.9986,0.9829
long_linear,100,0,15,114,12,27,26,6548,12030,71,0.2958,0.9773,0.7787
long_linear,100,1,15,114,12,27,27,8808,15483,78,0.0385,0.9949,0.8153
long_linear,100,2,15,114,12,31,22,944,1736,64,0.0,1.0,1.0
long_linear,150,0,23,172,19,51,34,10738,19533,86,0.2907,0.953,0.4313
long_linear,150,1,23,172,19,68,39,5844,11201,107,0.3458,0.9673,0.6702
long_linear,150,2,23,172,19,89,61,9720,18342,80,0.475,0.9643,0.8005
