condition,n_nodes,k_ties,n_qubits_whole_graph,n_zones,total_active_terms_mean,cx_mean,cx_std,cx_min,cx_max,unsafe_rate_mean,mean_feasible_mass_mean,worst_feasible_mass_min
short_log,10,3,12,1,5.7,264,186.7,132,528,0.0,1.0,1.0
short_log,30,5,34,4,8.7,233.3,157.3,32,416,0.0,1.0,1.0
short_log,60,6,65,8,10.3,185.3,80.3,108,296,0.0,1.0,1.0
short_log,100,7,106,12,13,124,51.0,52,164,0.0,1.0,1.0
short_log,150,7,156,19,13.3,89.3,52.8,52,164,0.0,1.0,1.0
short_linear,10,2,11,1,4,88,50.9,16,124,0.0,1.0,1.0
short_linear,30,5,34,4,8.7,233.3,157.3,32,416,0.0,1.0,1.0
short_linear,60,9,68,8,15,409.3,110.1,316,564,0.0,1.0,1.0
short_linear,100,15,114,12,26.7,808.7,344.2,324,1090,0.1022,0.9896,0.6845
short_linear,150,23,172,19,40.7,1678.7,225.7,1412,1964,0.214,0.9861,0.7834
long_log,10,3,12,1,10.7,1354.7,724.4,528,2292,0.3871,0.9661,0.8001
long_log,30,5,34,4,10.7,1032.7,487.1,452,1644,0.027,0.9986,0.9012
long_log,60,6,65,8,14.7,1312,351.7,1032,1808,0.2333,0.9879,0.7604
long_log,100,7,106,12,14.3,2658.7,1860.2,104,4480,0.0764,0.9944,0.8395
long_log,150,7,156,19,21.3,1318,561.3,856,2108,0.1282,0.993,0.7875
long_linear,10,2,11,1,9.3,1302.7,718.9,312,1996,0.1398,0.9908,0.7875
long_linear,30,5,34,4,10.7,1032.7,487.1,452,1644,0.027,0.9986,0.9012
long_linear,60,9,68,8,17.7,1786,630.4,992,2534,0.1363,0.9956,0.7875
long_linear,100,15,114,12,25,5433.3,3305.8,944,8808,0.1114,0.9907,0.7787
long_linear,150,23,172,19,44.7,8767.3,2108.5,5844,10738,0.3705,0.9615,0.4313
