n_nodes,seed,n_qubits_whole_graph,n_zones,naive_max_cycle_length,decomposed_max_witness_size,term_count_total,max_pattern_count,total_controlled_gates,max_cx_opt1,max_depth_opt1,max_cx_opt3,max_depth_opt3,total_cx_opt1,total_cx_opt3,all_leak_free,all_connected,elapsed_s
10,0,14,1,10,0,4,1,4,16,23,8,21,16,8,True,False,2.37
10,1,14,1,14,0,4,1,4,16,23,8,21,16,8,True,False,2.63
10,2,14,1,13,0,4,1,4,16,34,8,31,16,8,True,False,2.65
10,3,14,1,11,4,8,9,24,1482,2820,1436,2754,1482,1436,True,False,3.45
10,4,14,1,12,0,3,1,3,12,34,6,31,12,6,True,False,2.16
10,5,14,1,10,0,3,1,3,12,12,6,11,12,6,True,False,1.99
10,6,14,1,12,4,8,9,24,1554,2876,1494,2825,1554,1494,True,False,2.27
10,7,14,1,10,0,3,1,3,12,12,6,11,12,6,True,False,2.13
10,8,14,1,11,4,8,11,48,2404,4625,2280,4583,2404,2280,True,False,2.53
10,9,14,1,12,4,6,11,16,598,1122,562,1111,598,562,True,False,2.14
10,10,14,1,12,0,4,1,4,16,23,8,21,16,8,True,False,2.57
10,11,14,1,13,0,4,1,4,16,23,8,21,16,8,True,False,2.55
20,0,24,2,21,4,16,9,67,9356,18591,9202,18158,9360,9204,True,True,4.79
20,1,24,2,18,4,8,9,44,5976,11900,5903,11617,5980,5905,True,True,2.47
20,2,24,2,16,3,10,3,14,1916,3774,1836,3635,1920,1838,True,True,0.8
20,3,24,2,17,2,8,2,10,576,1102,506,981,584,510,True,True,0.22
20,4,24,2,17,4,9,4,22,4222,8352,4208,8262,4226,4210,True,True,3.14
20,5,24,2,18,4,8,4,26,3404,6671,3297,6448,3408,3299,True,True,1.57
20,6,24,2,17,4,12,9,73,10570,21110,10397,20731,10574,10399,True,True,5.29
20,7,24,2,18,4,9,9,55,6646,13062,6544,12738,6650,6546,True,True,3.45
20,8,24,2,19,4,14,9,99,11790,23401,11522,22992,11794,11524,True,True,5.8
20,9,24,2,24,1,7,1,7,124,274,101,238,136,107,True,True,0.07
20,10,24,2,20,4,10,5,17,3444,6697,3385,6572,3448,3387,True,True,1.67
20,11,24,2,13,4,10,1,10,1410,2755,1391,2693,1414,1393,True,True,0.6
40,0,44,5,32,3,8,1,8,1322,2663,1306,2598,1322,1306,True,True,0.4
40,1,44,5,32,3,12,3,16,1968,3805,1914,3731,1984,1922,True,True,0.78
40,2,44,5,25,2,11,1,11,396,756,344,666,488,416,True,True,0.19
40,3,44,5,24,4,16,3,21,4450,8745,4414,8536,4462,4420,True,True,1.96
40,4,44,5,28,2,11,1,11,346,671,316,664,366,326,True,True,0.16
40,5,44,5,30,4,13,4,31,3516,6908,3425,6752,3680,3559,True,True,1.38
40,6,44,5,25,2,11,2,14,756,1411,684,1339,1104,999,True,True,0.47
40,7,44,5,28,2,10,1,10,424,791,371,700,584,503,True,True,0.24
40,8,44,5,29,2,9,2,11,852,1633,787,1588,860,791,True,True,0.32
40,9,44,5,29,4,12,7,31,4092,8153,3997,8052,4528,4389,True,True,1.77
40,10,44,5,22,2,9,3,18,528,1082,448,951,652,549,True,True,0.24
40,11,44,5,26,2,7,1,7,514,992,470,935,514,470,True,True,0.18
80,0,84,10,45,3,13,3,20,2878,5712,2825,5581,3002,2926,True,True,1.16
80,1,84,10,60,2,19,1,19,432,838,389,801,460,403,True,True,0.27
80,2,84,10,36,4,15,5,23,4932,9756,4889,9609,4956,4901,True,True,2.45
80,3,84,10,46,2,13,2,14,314,633,281,587,446,386,True,True,0.31
80,4,84,10,46,3,20,1,20,980,1916,966,1870,1016,984,True,True,0.47
80,5,84,10,37,4,15,4,29,4162,8340,4126,8153,4186,4138,True,True,2.31
80,6,84,10,48,2,13,1,13,452,909,384,796,468,392,True,True,0.35
80,7,84,10,45,3,15,2,19,1620,3149,1556,3003,1724,1634,True,True,0.94
80,8,84,10,40,3,14,3,33,4488,8957,4452,8784,5016,4906,True,True,2.11
80,9,84,10,40,0,12,1,12,32,89,16,61,48,24,True,False,1.06
80,10,84,10,45,3,16,2,21,1590,3054,1494,3000,2078,1936,True,True,0.8
80,11,84,10,41,3,12,3,19,2800,5556,2755,5415,2924,2856,True,True,1.03
120,0,124,15,54,2,16,1,16,408,796,377,768,520,459,True,True,0.42
120,1,124,15,56,2,19,2,23,912,1714,808,1531,1264,1104,True,True,0.81
120,2,124,15,52,4,21,2,28,4788,9498,4753,9368,4828,4773,True,True,3.04
120,3,124,15,45,2,16,2,18,576,1104,506,983,688,588,True,True,0.56
120,4,124,15,69,3,15,3,17,1136,2226,1093,2131,1144,1097,True,True,0.61
120,5,124,15,58,2,18,2,19,362,715,329,676,662,591,True,True,0.63
120,6,124,15,68,4,17,6,38,5464,10837,5403,10606,5472,5407,True,True,3.4
120,7,124,15,62,2,17,2,18,508,966,461,906,700,609,True,True,0.47
120,8,124,15,62,3,20,3,22,984,1951,955,1881,1176,1123,True,True,0.85
120,9,124,15,62,2,18,1,18,456,638,398,620,456,398,True,False,10.94
120,10,124,15,59,1,18,1,18,132,279,105,238,252,191,True,True,0.37
120,11,124,15,52,4,18,3,22,2448,4822,2383,4673,2484,2401,True,True,1.32
