n_nodes,seed,n_qubits_whole_graph,n_zones,naive_max_cycle_length,decomposed_max_witness_size,term_count_total,max_pattern_count,total_controlled_gates,max_cx_opt1,max_depth_opt1,max_cx_opt3,max_depth_opt3,total_cx_opt1,total_cx_opt3,all_leak_free,all_connected,elapsed_s
10,0,14,1,10,0,4,1,4,16,23,8,21,16,8,True,False,2.76
10,1,14,1,14,0,4,1,4,16,23,8,21,16,8,True,False,2.69
10,2,14,1,13,0,4,1,4,16,34,8,31,16,8,True,False,2.57
10,3,14,1,11,4,8,9,24,7366,14938,7349,14742,7366,7349,True,False,7.06
10,4,14,1,12,0,3,1,3,12,34,6,31,12,6,True,False,2.16
10,5,14,1,10,0,3,1,3,12,12,6,11,12,6,True,False,2.19
10,6,14,1,12,4,8,9,24,8276,16336,8252,15936,8276,8252,True,False,6.85
10,7,14,1,10,0,3,1,3,12,12,6,11,12,6,True,False,2.18
10,8,14,1,11,4,8,11,48,19204,38325,19196,37573,19204,19196,True,False,13.51
10,9,14,1,12,4,6,11,16,4928,9804,4918,9588,4928,4918,True,False,4.85
10,10,14,1,12,0,4,1,4,16,23,8,21,16,8,True,False,2.71
10,11,14,1,13,0,4,1,4,16,23,8,21,16,8,True,False,3.11
20,0,24,2,21,4,16,9,67,26584,53328,26572,52225,26588,26574,True,True,15.24
20,1,24,2,18,4,8,9,44,17122,34233,17101,33538,17126,17103,True,True,9.21
20,2,24,2,16,3,10,3,14,1916,3774,1836,3634,1920,1838,True,True,0.67
20,3,24,2,17,2,8,2,10,576,1102,506,981,584,510,True,True,0.22
20,4,24,2,17,4,9,4,22,6748,13410,6744,13342,6752,6746,True,True,4.56
20,5,24,2,18,4,8,4,26,6380,12650,6335,12468,6384,6337,True,True,3.36
20,6,24,2,17,4,12,9,73,31044,62515,31034,61264,31048,31036,True,True,15.91
20,7,24,2,18,4,9,9,55,21842,43570,21806,42902,21846,21808,True,True,12.11
20,8,24,2,19,4,14,9,99,36588,72939,36588,72533,36592,36590,True,True,22.3
20,9,24,2,24,1,7,1,7,124,274,101,238,136,107,True,True,0.07
20,10,24,2,20,4,10,5,17,3444,6700,3385,6573,3448,3387,True,True,1.67
20,11,24,2,13,4,10,1,10,1410,2755,1391,2693,1414,1393,True,True,0.56
40,0,44,5,32,3,8,1,8,1322,2663,1306,2598,1322,1306,True,True,0.41
40,1,44,5,32,3,12,3,16,1968,3806,1914,3731,1984,1922,True,True,0.67
40,2,44,5,25,2,11,1,11,396,756,344,666,488,416,True,True,0.3
40,3,44,5,24,4,16,3,21,4450,8746,4414,8537,4462,4420,True,True,1.97
40,4,44,5,28,2,11,1,11,346,671,316,664,366,326,True,True,0.14
40,5,44,5,30,4,13,4,31,6512,12936,6496,12764,6676,6630,True,True,2.82
40,6,44,5,25,2,11,2,14,756,1411,684,1339,1104,999,True,True,0.47
40,7,44,5,28,2,10,1,10,424,791,371,700,584,503,True,True,0.24
40,8,44,5,29,2,9,2,11,852,1633,787,1588,860,791,True,True,0.28
40,9,44,5,29,4,12,7,31,9216,18758,9167,18396,9652,9559,True,True,3.86
40,10,44,5,22,2,9,3,18,1456,2680,1288,2385,1580,1389,True,True,0.71
40,11,44,5,26,2,7,1,7,514,992,470,935,514,470,True,True,0.26
80,0,84,10,45,3,13,3,20,2878,5714,2825,5582,3002,2926,True,True,1.16
80,1,84,10,60,2,19,1,19,432,838,389,801,460,403,True,True,0.34
80,2,84,10,36,4,15,5,23,4932,9758,4889,9610,4956,4901,True,True,2.88
80,3,84,10,46,2,13,2,14,314,633,281,587,446,386,True,True,0.54
80,4,84,10,46,3,20,1,20,980,1916,966,1870,1016,984,True,True,0.82
80,5,84,10,37,4,15,4,29,7174,14277,7142,14076,7198,7154,True,True,4.63
80,6,84,10,48,2,13,1,13,452,909,384,796,468,392,True,True,0.38
80,7,84,10,45,3,15,2,19,1620,3149,1556,3003,1724,1634,True,True,0.96
80,8,84,10,40,3,14,3,33,4488,8960,4452,8787,5944,5746,True,True,2.58
80,9,84,10,40,0,12,1,12,32,89,16,61,48,24,True,False,1.37
80,10,84,10,45,3,16,2,21,1590,3054,1494,3000,2078,1936,True,True,0.8
80,11,84,10,41,3,12,3,19,2800,5558,2755,5418,2924,2856,True,True,1.32
120,0,124,15,54,2,16,1,16,408,796,377,768,520,459,True,True,0.47
120,1,124,15,56,2,19,2,23,912,1714,808,1531,1264,1104,True,True,0.77
120,2,124,15,52,4,21,2,28,4788,9499,4753,9369,4828,4773,True,True,3.28
120,3,124,15,45,2,16,2,18,576,1104,506,983,688,588,True,True,0.57
120,4,124,15,69,3,15,3,17,1136,2227,1093,2132,1144,1097,True,True,0.76
120,5,124,15,58,2,18,2,19,362,715,329,676,662,591,True,True,0.54
120,6,124,15,68,4,17,6,38,10230,20426,10197,20040,10238,10201,True,True,6.4
120,7,124,15,62,2,17,2,18,508,966,461,906,700,609,True,True,0.66
120,8,124,15,62,3,20,3,22,984,1951,955,1881,1176,1123,True,True,0.76
120,9,124,15,62,2,18,1,18,456,638,398,620,456,398,True,False,11.8
120,10,124,15,59,1,18,1,18,132,279,105,238,252,191,True,True,0.36
120,11,124,15,52,4,18,3,22,2448,4823,2383,4674,2484,2401,True,True,1.56
