condition,n_nodes,seed,k_ties,n_qubits,n_trees,n_candidates,n_terms,dropped_candidates,fully_connected,cx_count,depth,mean_feasible_mass
short_log,10,0,3,12,24,66,6,0,True,132,274,1.0
short_log,10,1,3,12,16,66,5,0,True,528,1082,1.0
short_log,10,2,3,12,24,66,6,0,True,132,271,1.0
short_log,30,0,5,34,156,561,10,0,True,1204,2306,1.0
short_log,30,1,5,34,192,561,10,0,True,256,271,1.0
short_log,30,2,5,34,144,561,9,0,True,544,1082,1.0
long_log,10,0,3,12,92,66,11,0,True,7234,14212,1.0
long_log,10,1,3,12,80,66,10,30,False,6934,13711,1.0
long_log,10,2,3,12,91,66,11,2,True,7898,15549,1.0
long_log,30,0,5,34,2772,561,18,278,False,72,144,1.0
long_log,30,1,5,34,1123,561,19,206,False,76,199,1.0
long_log,30,2,5,34,1555,561,19,234,False,76,199,1.0
