condition,n_nodes,seed,k_ties,n_qubits,cx_count,depth,unsafe_rate,mean_feasible_mass,worst_feasible_mass
short_log,10,0,3,12,132,274,0.0,1.0,1.0
short_log,10,1,3,12,528,1082,0.0,1.0,1.0
short_log,10,2,3,12,132,271,0.0,1.0,1.0
short_log,30,0,5,34,4140,7975,0.14,0.9907,0.8692
short_log,30,1,5,34,4176,7945,0.43,0.9759,0.8544
short_log,30,2,5,34,4896,9385,0.76,0.9507,0.8024
short_log,60,0,6,65,4248,8170,0.15,0.9893,0.8692
short_log,60,1,6,65,2826,5292,0.08,0.9918,0.8692
short_log,60,2,6,65,2500,4758,0.22,0.9828,0.8692
short_log,100,0,7,106,3722,7189,0.22,0.9764,0.8692
short_log,100,1,7,106,1542,2585,0.03,0.9961,0.8692
short_log,100,2,7,106,2512,4789,0.0,1.0,1.0
short_log,150,0,7,156,2722,5199,0.12,0.9858,0.7727
short_log,150,1,7,156,3028,5796,0.0,1.0,1.0
short_log,150,2,7,156,2486,4647,0.06,0.9948,0.8692
long_log,10,0,3,12,6330,12322,0.09,0.9889,0.8692
long_log,10,1,3,12,1664,3365,0.75,0.9559,0.7907
long_log,10,2,3,12,1916,3608,0.0,1.0,1.0
long_log,30,0,5,34,4806,8975,0.0,1.0,1.0
long_log,30,1,5,34,1844,3584,0.17,0.9895,0.8692
long_log,30,2,5,34,3706,6769,0.01,0.9987,0.8692
long_log,60,0,6,65,12236,20062,0.3,0.9593,0.6568
long_log,60,1,6,65,12130,20885,0.29,0.9684,0.7541
long_log,60,2,6,65,10146,17913,0.06,0.9935,0.7556
long_log,100,0,7,106,11676,20907,0.49,0.9099,0.3051
long_log,100,1,7,106,9934,17247,0.46,0.9152,0.4962
long_log,100,2,7,106,8154,12647,0.48,0.9073,0.5709
long_log,150,0,7,156,10238,19040,0.24,0.9765,0.6568
long_log,150,1,7,156,11318,19059,0.2,0.9812,0.7556
long_log,150,2,7,156,10580,17828,0.49,0.9192,0.1114
