condition,n_nodes,cx_mean,cx_std,unsafe_rate_mean,mean_feasible_mass_mean
short_log,10,264,186.7,0.0,1.0
short_log,30,4404,348.2,0.4433,0.9724
short_log,60,3191.3,758.9,0.15,0.988
short_log,100,2592,891.8,0.0833,0.9908
short_log,150,2745.3,221.9,0.06,0.9935
short_linear,10,88,50.9,0.0,1.0
short_linear,30,4404,348.2,0.4433,0.9724
short_linear,60,1349.3,319.5,0.1767,0.9827
short_linear,100,1080,147.1,0.21,0.9726
short_linear,150,1350.7,503.7,0.2533,0.9697
long_log,10,3303.3,2142.6,0.28,0.9816
long_log,30,3452,1222.5,0.06,0.9961
long_log,60,11504,961.2,0.2167,0.9737
long_log,100,9921.3,1437.9,0.4767,0.9108
long_log,150,10712,450.7,0.31,0.959
long_linear,10,4182,2755.3,0.0167,0.9991
long_linear,30,3452,1222.5,0.06,0.9961
long_linear,60,11980,1314.8,0.3467,0.9504
long_linear,100,10430.7,974.9,0.5733,0.8909
long_linear,150,13273.3,2356.7,0.49,0.9305
