label,m,k,n_nodes,n_edges,status,proved_optimal,wall_clock_s,cpsat_objective,exact_optimum,matches_exact
m4_yes,4,12,65,100,OPTIMAL,True,1.267,1396,1396,True
m4_no,4,12,65,100,OPTIMAL,True,8.22,1392,1392,True
m5_yes,5,15,81,140,OPTIMAL,True,6.016,1745,1745,True
m5_no,5,15,81,140,OPTIMAL,True,25.857,1741,1741,True
m6_yes,6,18,97,186,OPTIMAL,True,22.095,2094,2094,True
m6_no,6,18,97,186,OPTIMAL,True,114.862,2090,2090,True
m7_yes,7,21,113,238,OPTIMAL,True,52.214,2443,2443,True
m7_no,7,21,113,238,OPTIMAL,True,214.114,2439,2439,True
m8_yes,8,24,129,296,OPTIMAL,True,87.082,2792,2792,True
m8_no,8,24,129,296,OPTIMAL,True,450.054,2788,2788,True
m9_yes,9,27,145,360,OPTIMAL,True,33.848,3141,3141,True
m9_no,9,27,145,360,OPTIMAL,True,852.953,3137,3137,True
m10_yes,10,30,161,430,OPTIMAL,True,224.998,3490,3490,True
m10_no,10,30,161,430,OPTIMAL,True,1174.645,3486,3486,True
m11_yes,11,33,177,506,OPTIMAL,True,894.925,3839,3839,True
m11_no,11,33,177,506,FEASIBLE,False,1800.032,3835,3835,True
