condition,n_nodes,seed,k_ties,n_qubits_whole_graph,max_hierarchy_levels,total_terms,total_active_terms,total_cx,total_depth
long_log,10,0,3,12,1,11,11,2292,4344
long_log,10,1,3,12,1,10,10,528,1134
long_log,10,2,3,12,1,11,11,1244,2353
long_log,30,0,5,34,1,9,9,452,893
long_log,30,1,5,34,1,11,11,1644,3155
long_log,30,2,5,34,1,12,12,1002,1954
long_log,60,0,6,65,1,13,13,1032,1973
long_log,60,1,6,65,1,12,12,1096,2213
long_log,60,2,6,65,1,19,19,1808,3361
long_log,100,0,7,106,1,20,20,3392,5981
long_log,100,1,7,106,1,15,15,4480,7819
long_log,100,2,7,106,1,14,8,104,235
long_log,150,0,7,156,2,11,11,516,999
long_log,150,1,7,156,2,11,11,656,1254
long_log,150,2,7,156,2,10,10,682,1317
long_linear,10,0,2,11,1,10,10,1600,3020
long_linear,10,1,2,11,1,9,9,1996,3825
long_linear,10,2,2,11,1,9,9,312,603
long_linear,30,0,5,34,1,9,9,452,893
long_linear,30,1,5,34,1,11,11,1644,3155
long_linear,30,2,5,34,1,12,12,1002,1954
long_linear,60,0,9,68,1,17,17,2534,4982
long_linear,60,1,9,68,1,18,18,1832,3583
long_linear,60,2,9,68,1,18,18,992,1867
long_linear,100,0,15,114,1,27,26,6548,12030
long_linear,100,1,15,114,1,27,27,8808,15483
long_linear,100,2,15,114,1,31,22,944,1736
long_linear,150,0,23,172,2,32,29,3622,7089
long_linear,150,1,23,172,2,39,39,5264,10170
long_linear,150,2,23,172,2,33,33,2416,4640
