m,n_qubits,method,bond_dim,expected_cost,wall_clock_s,exact_optimum,error
2,12,statevector,,884.1761490990286,0.04864024743437767,698,
2,12,mps,4,910.1849769285592,0.021476799622178078,698,
2,12,mps,16,870.5097165142535,0.028047557920217514,698,
2,12,mps,64,884.1761490958075,0.04483131878077984,698,
3,27,statevector,,1561.7231150741766,39.87211386114359,1047,
3,27,mps,4,1700.3740716071807,0.0678106751292944,1047,
3,27,mps,16,1688.4357717421144,0.1849362775683403,1047,
3,27,mps,64,1681.797246581781,5.38463288731873,1047,
4,48,mps,4,2474.8729020232086,0.32741205766797066,1396,
4,48,mps,16,2519.8738724088216,0.7845691181719303,1396,
4,48,mps,64,2248.3398742508034,26.758962035179138,1396,
5,75,mps,4,2924.335405493048,0.44144268706440926,1745,
5,75,mps,16,2732.8750671161843,2.0404739156365395,1745,
5,75,mps,64,2908.2845554706755,83.74354472383857,1745,
6,108,mps,4,4250.523265418362,0.9732004348188639,2094,
6,108,mps,16,3619.882997152081,4.236777955666184,2094,
6,108,mps,64,3622.844234989174,193.06644794158638,2094,
7,147,mps,4,6135.119117311242,1.6236773915588856,2443,
7,147,mps,16,4349.29849655778,5.541581815108657,2443,
7,147,mps,64,,390.60917137749493,2443,TIMEOUT after 240s
