condition,n_nodes,k_ties,n_qubits,cx_mean,cx_min,cx_max,depth_mean,depth_min,depth_max,all_connected
fixed,8,3,10,264.00,132,528,543.33,274,1082,True
log,8,3,10,264.00,132,528,543.33,274,1082,True
fixed,9,3,11,264.00,132,528,542.00,270,1082,True
log,9,3,11,264.00,132,528,542.00,270,1082,True
fixed,10,3,12,264.00,132,528,542.33,271,1082,True
log,10,3,12,264.00,132,528,542.33,271,1082,True
fixed,11,3,13,396.00,132,528,812.67,274,1082,True
log,11,3,13,396.00,132,528,812.67,274,1082,True
fixed,12,3,14,408.00,168,528,835.67,343,1082,True
log,12,4,15,1545.33,536,3564,3078.00,1082,7070,True
fixed,13,3,15,360.00,24,528,729.00,23,1082,True
log,13,4,16,1377.33,32,3564,2725.00,23,7070,True
fixed,14,3,16,376.00,24,576,740.33,23,1116,True
log,14,4,17,496.67,32,922,964.67,23,1789,True
fixed,15,3,17,412.00,132,576,823.00,271,1116,True
log,15,4,18,532.67,140,922,1047.33,271,1789,True
fixed,16,3,18,376.00,24,576,740.33,23,1116,True
log,16,4,19,532.67,140,922,1048.33,274,1789,True
fixed,17,3,19,376.00,24,576,740.33,23,1116,True
log,17,4,20,532.67,140,922,1048.33,274,1789,True
fixed,18,3,20,292.00,132,576,576.33,270,1116,True
log,18,4,21,568.67,248,922,1048.33,274,1789,True
fixed,19,3,21,276.00,132,528,565.00,270,1082,True
log,19,4,22,1081.33,248,2460,2077.67,274,4877,True
fixed,20,3,22,240.00,24,528,482.67,23,1082,True
log,20,4,23,1045.33,140,2460,2076.33,270,4877,True
fixed,21,3,23,228.00,24,528,459.67,23,1082,True
log,21,4,24,1133.33,404,2460,2237.00,752,4877,True
fixed,22,3,24,337.33,24,528,656.33,23,1082,True
log,22,4,25,1353.33,404,2460,2645.00,752,4877,True
fixed,23,3,25,337.33,24,528,656.33,23,1082,True
log,23,4,26,1229.33,32,2460,2402.00,23,4877,True
fixed,24,3,26,337.33,24,528,656.33,23,1082,True
log,24,5,28,1268.00,412,2188,2377.33,752,4074,True
fixed,25,3,27,205.33,24,460,386.67,23,864,True
log,25,5,29,1237.33,40,2468,2402.00,23,4877,True
fixed,26,3,28,241.33,132,460,469.00,270,864,True
log,26,5,30,764.00,544,1204,1490.00,1082,2306,True
fixed,27,3,29,132.00,132,132,271.33,270,273,True
log,27,5,31,764.00,544,1204,1490.00,1082,2306,True
fixed,28,3,30,132.00,132,132,271.33,270,273,True
log,28,5,32,764.00,544,1204,1490.00,1082,2306,True
fixed,29,3,31,132.00,132,132,271.33,270,273,True
log,29,5,33,764.00,544,1204,1490.00,1082,2306,True
fixed,30,3,32,96.00,24,132,189.00,23,273,True
log,30,5,34,668.00,256,1204,1219.67,271,2306,True
fixed,31,3,33,96.00,24,132,189.00,23,273,True
log,31,5,35,668.00,256,1204,1219.67,271,2306,True
fixed,32,3,34,132.00,132,132,271.33,270,273,True
log,32,5,36,764.00,544,1204,1490.00,1082,2306,True
fixed,33,3,35,132.00,132,132,271.33,270,273,True
log,33,5,37,764.00,544,1204,1490.00,1082,2306,True
fixed,34,3,36,132.00,132,132,271.33,270,273,True
log,34,5,38,764.00,544,1204,1490.00,1082,2306,True
fixed,35,3,37,264.00,132,528,541.00,270,1082,True
log,35,5,39,1382.00,476,3126,2671.33,864,6068,True
fixed,36,3,38,264.00,132,528,541.00,270,1082,True
log,36,5,40,1382.00,476,3126,2671.33,864,6068,True
fixed,37,3,39,264.00,132,528,541.00,270,1082,True
log,37,5,41,1286.00,256,3126,2400.67,270,6068,True
fixed,38,3,40,264.00,132,528,541.00,270,1082,True
log,38,5,42,1286.00,256,3126,2400.67,270,6068,True
fixed,39,3,41,264.00,132,528,541.00,270,1082,True
log,39,5,43,1250.00,148,3126,2400.67,270,6068,True
fixed,40,3,42,264.00,132,528,541.00,270,1082,True
log,40,5,44,389.33,148,544,738.67,270,1082,True
