n_nodes,seed,k_ties,n_qubits,num_spanning_trees,term_count,max_witness_size,dropped_candidates,fully_connected,cx_count,total_gate_count,depth,measurement_seconds
8,0,3,10,24,6,1,0,True,132,414,274,0.0347
8,1,3,10,24,6,1,0,True,132,412,274,0.0170
8,2,3,10,16,5,2,0,True,1556,3901,2969,0.0778
8,3,3,10,21,6,2,0,True,576,1616,1102,0.0443
8,4,3,10,16,5,2,0,True,1456,3918,2681,0.0935
9,0,3,11,24,6,1,0,True,132,414,274,0.0358
9,1,3,11,24,6,1,0,True,132,412,270,0.0184
9,2,3,11,16,5,2,0,True,1554,3909,2962,0.0812
9,3,3,11,16,5,2,0,True,1548,3910,2946,0.0827
9,4,3,11,16,5,2,0,True,1456,3918,2681,0.0958
10,0,3,12,24,6,1,0,True,132,414,274,0.0215
10,1,3,12,16,5,2,0,True,1540,3919,2923,0.1071
10,2,3,12,24,6,1,0,True,132,413,271,0.0202
10,3,3,12,24,6,1,0,True,132,414,274,0.0212
10,4,3,12,16,5,2,0,True,1456,3918,2681,0.1088
11,0,3,13,24,6,1,0,True,132,414,274,0.0225
11,1,3,13,16,5,2,0,True,1456,3930,2681,0.0981
11,2,3,13,16,5,2,0,True,1456,3936,2681,0.0984
11,3,3,13,24,6,1,0,True,132,414,274,0.0215
11,4,3,13,16,5,2,0,True,1456,3918,2681,0.1198
12,0,3,14,24,6,1,0,True,168,518,343,0.0258
12,1,3,14,16,5,2,0,True,1532,3928,2900,0.0880
12,2,3,14,16,5,2,0,True,1456,3936,2681,0.0966
12,3,3,14,27,6,0,0,True,24,105,23,0.0177
12,4,3,14,16,5,2,0,True,1456,3918,2681,0.0971
13,0,3,15,27,6,0,0,True,24,105,23,0.0193
13,1,3,15,16,5,2,0,True,1522,3937,2870,0.0922
13,2,3,15,16,5,2,0,True,1456,3936,2681,0.1218
13,3,3,15,27,6,0,0,True,24,105,23,0.0194
13,4,3,15,16,5,2,0,True,1456,3918,2681,0.0989
14,0,3,16,27,6,0,0,True,24,105,23,0.0224
14,1,3,16,16,5,2,0,True,1456,3980,2681,0.1042
14,2,3,16,21,6,2,0,True,576,1630,1116,0.0567
14,3,3,16,24,6,1,0,True,132,414,273,0.0310
14,4,3,16,16,5,2,0,True,1456,3918,2681,0.1035
15,0,3,17,24,6,1,0,True,132,413,271,0.0486
15,1,3,17,16,5,2,0,True,1534,3945,2904,0.1229
15,2,3,17,21,6,2,0,True,576,1630,1116,0.0600
15,3,3,17,24,6,1,0,True,132,414,273,0.0351
15,4,3,17,16,5,2,0,True,1456,3918,2681,0.1160
16,0,3,18,27,6,0,0,True,24,105,23,0.0322
16,1,3,18,16,5,2,0,True,1530,3954,2893,0.1082
16,2,3,18,21,6,2,0,True,576,1630,1116,0.0660
16,3,3,18,24,6,1,0,True,132,414,273,0.0407
16,4,3,18,16,5,2,0,True,1456,3918,2681,0.1482
17,0,3,19,27,6,0,0,True,24,105,23,0.0372
17,1,3,19,16,5,2,0,True,1456,3936,2681,0.1367
17,2,3,19,21,6,2,0,True,576,1630,1116,0.0777
17,3,3,19,24,6,1,0,True,132,414,273,0.0437
17,4,3,19,16,5,2,0,True,1456,3918,2681,0.1174
18,0,3,20,24,6,1,0,True,168,518,343,0.0549
18,1,3,20,24,6,1,0,True,132,412,270,0.0495
18,2,3,20,21,6,2,0,True,576,1630,1116,0.1040
18,3,3,20,21,6,2,0,True,576,1630,1117,0.0873
18,4,3,20,16,5,2,0,True,1456,3918,2681,0.1239
19,0,3,21,24,6,1,0,True,168,518,343,0.0614
19,1,3,21,24,6,1,0,True,132,412,270,0.0613
19,2,3,21,16,5,2,0,True,1456,3936,2681,0.1386
19,3,3,21,30,7,3,0,True,542,1552,1056,0.0916
19,4,3,21,16,5,2,0,True,1456,3918,2681,0.1945
20,0,3,22,24,6,1,0,True,168,518,343,0.0713
20,1,3,22,27,6,0,0,True,24,105,23,0.0591
20,2,3,22,16,5,2,0,True,1456,3936,2681,0.1524
20,3,3,22,27,6,0,0,True,24,105,23,0.0808
20,4,3,22,16,5,2,0,True,1456,3918,2681,0.1487
21,0,3,23,24,6,1,0,True,132,414,274,0.0788
21,1,3,23,27,6,0,0,True,24,105,23,0.0690
21,2,3,23,16,5,2,0,True,1456,3936,2681,0.1521
21,3,3,23,27,6,0,0,True,24,105,23,0.0668
21,4,3,23,16,5,2,0,True,1456,3918,2681,0.2029
22,0,3,24,20,6,2,0,True,460,1272,864,0.1128
22,1,3,24,27,6,0,0,True,24,105,23,0.0849
22,2,3,24,16,5,2,0,True,1456,3936,2681,0.1713
22,3,3,24,27,6,0,0,True,24,105,23,0.0799
22,4,3,24,16,5,2,0,True,1456,3918,2681,0.1876
23,0,3,25,20,6,2,0,True,460,1272,864,0.1837
23,1,3,25,27,6,0,0,True,24,105,23,0.0965
23,2,3,25,16,5,2,0,True,1456,3936,2681,0.2203
23,3,3,25,27,6,0,0,True,24,105,23,0.0945
23,4,3,25,16,5,2,0,True,1456,3918,2681,0.1821
24,0,3,26,20,6,2,0,True,460,1272,864,0.1387
24,1,3,26,27,6,0,0,True,24,105,23,0.1103
24,2,3,26,16,5,2,0,True,1456,3936,2681,0.2149
24,3,3,26,27,6,0,0,True,24,105,23,0.1153
24,4,3,26,16,5,2,0,True,1456,3918,2681,0.2028
25,0,3,27,20,6,2,0,True,460,1272,864,0.1541
25,1,3,27,27,6,0,0,True,24,105,23,0.1211
25,2,3,27,24,6,1,0,True,132,414,273,0.1269
25,3,3,27,27,6,0,0,True,24,105,23,0.1194
25,4,3,27,16,5,2,0,True,1456,3918,2681,0.2331
26,0,3,28,20,6,2,0,True,460,1272,864,0.1643
26,1,3,28,24,6,1,0,True,132,412,270,0.1560
26,2,3,28,24,6,1,0,True,132,414,273,0.1743
26,3,3,28,27,6,0,0,True,24,105,23,0.1516
26,4,3,28,16,5,2,0,True,1456,3918,2681,0.2238
27,0,3,29,24,6,1,0,True,132,413,271,0.1766
27,1,3,29,24,6,1,0,True,132,412,270,0.1820
27,2,3,29,24,6,1,0,True,132,414,273,0.1647
27,3,3,29,27,6,0,0,True,24,105,23,0.2441
27,4,3,29,21,6,2,0,True,576,1617,1090,0.1966
28,0,3,30,24,6,1,0,True,132,413,271,0.1972
28,1,3,30,24,6,1,0,True,132,412,270,0.1905
28,2,3,30,24,6,1,0,True,132,414,273,0.1801
28,3,3,30,27,6,0,0,True,24,105,23,0.1883
28,4,3,30,21,6,2,0,True,576,1617,1090,0.2331
29,0,3,31,24,6,1,0,True,132,413,271,0.2251
29,1,3,31,24,6,1,0,True,132,412,270,0.2264
29,2,3,31,24,6,1,0,True,132,414,273,0.2051
29,3,3,31,27,6,0,0,True,24,105,23,0.2100
29,4,3,31,21,6,2,0,True,576,1617,1090,0.2502
30,0,3,32,24,6,1,0,True,132,413,271,0.2475
30,1,3,32,27,6,0,0,True,24,105,23,0.2268
