n_nodes,n_qubits,cx_mean,cx_min,cx_max,depth_mean,depth_min,depth_max,term_count_mean,all_connected
8,10,770.40,132,1556,1460.00,274,2969,5.60,True
9,11,964.40,132,1554,1826.60,270,2962,5.40,True
10,12,678.40,132,1540,1284.60,271,2923,5.60,True
11,13,926.40,132,1456,1718.20,274,2681,5.40,True
12,14,927.20,24,1532,1725.60,23,2900,5.40,True
13,15,896.40,24,1522,1655.60,23,2870,5.40,True
14,16,728.80,24,1456,1354.80,23,2681,5.60,True
15,17,766.00,132,1534,1449.00,271,2904,5.60,True
16,18,743.60,24,1530,1397.20,23,2893,5.60,True
17,19,728.80,24,1456,1354.80,23,2681,5.60,True
18,20,581.60,132,1456,1105.40,270,2681,5.80,True
19,21,750.80,132,1456,1406.20,270,2681,5.80,True
20,22,625.60,24,1456,1150.20,23,2681,5.60,True
21,23,618.40,24,1456,1136.40,23,2681,5.60,True
22,24,684.00,24,1456,1254.40,23,2681,5.60,True
23,25,684.00,24,1456,1254.40,23,2681,5.60,True
24,26,684.00,24,1456,1254.40,23,2681,5.60,True
25,27,419.20,24,1456,772.80,23,2681,5.80,True
26,28,440.80,24,1456,822.20,23,2681,5.80,True
27,29,199.20,24,576,385.40,23,1090,6.00,True
28,30,199.20,24,576,385.40,23,1090,6.00,True
29,31,199.20,24,576,385.40,23,1090,6.00,True
30,32,177.60,24,576,336.00,23,1090,6.00,True
31,33,178.40,24,576,338.20,23,1090,6.20,True
32,34,220.80,132,576,434.80,270,1090,6.00,True
33,35,220.80,132,576,434.80,270,1090,6.00,True
