k_ties,seed,n_nodes,n_qubits,n_spanning_trees,n_candidates,n_terms,max_witness_size,mean_witness_size,dropped_candidates,fully_connected,elapsed_s
2,0,8,9,9,36,4,0,0,0,True,0.0
2,1,8,9,9,36,4,0,0,0,True,0.0
2,2,8,9,8,36,4,1,0.75,0,True,0.0
2,3,8,9,11,36,5,2,0.8,0,True,0.0
4,0,8,11,48,55,7,2,1.43,0,True,0.0
4,1,8,11,87,55,9,3,1.11,0,True,0.0
4,2,8,11,40,55,7,4,3,0,True,0.01
4,3,8,11,55,55,8,3,1.88,0,True,0.0
6,0,8,13,272,78,11,4,2.73,6,True,0.08
6,1,8,13,465,78,4,1,0.5,71,False,0.58
6,2,8,13,225,78,8,4,3,30,False,0.22
6,3,8,13,185,78,3,4,1.67,51,False,0.29
8,0,8,15,1216,105,14,4,2.71,10,True,0.4
8,1,8,15,1339,105,4,2,1,95,False,2.58
8,2,8,15,828,105,2,1,0.5,88,False,1.78
8,3,8,15,1308,105,4,1,0.5,101,False,2.75
10,0,8,17,3449,136,2,1,0.5,133,False,12.53
10,1,8,17,4181,136,0,0,0.0,136,False,15.0
10,2,8,17,2052,136,2,1,0.5,117,False,7.12
10,3,8,17,3710,136,3,1,0.67,133,False,13.33
