k_ties,seed,max_witness_size,n_qubits,n_terms,n_approximate_terms,mean_term_leakage_rate,fully_connected,cx_count,depth,unsafe_rate,mean_feasible_mass
6,0,0,13,11,7,0.1856,True,332,656,0.14,0.9817
6,0,1,13,11,7,0.1697,True,372,740,0.17,0.971
6,1,0,13,12,9,0.1515,True,84,186,0.0,1.0
6,1,1,13,12,9,0.1515,True,84,186,0.0,1.0
6,2,0,13,10,8,0.3259,True,24,45,0.96,0.9339
6,2,1,13,10,8,0.2524,True,216,451,0.84,0.9456
8,0,0,15,14,11,0.2038,True,148,293,0.0,1.0
8,0,1,15,14,11,0.1718,True,348,721,0.87,0.9185
8,1,0,15,14,10,0.0864,True,188,380,0.0,1.0
8,1,1,15,14,10,0.0864,True,188,380,0.0,1.0
8,2,0,15,13,11,0.204,True,44,100,0.0,1.0
8,2,1,15,13,11,0.1526,True,204,443,0.65,0.9505
10,0,0,17,16,14,0.2072,True,44,100,0.0,1.0
10,0,1,17,16,14,0.19,True,244,528,0.76,0.9367
10,1,0,17,16,16,0.2009,True,16,45,0.92,0.9394
10,1,1,17,16,16,0.1717,True,208,453,0.85,0.933
10,2,0,17,15,15,0.343,True,32,89,1.0,0.844
10,2,1,17,15,15,0.3015,True,400,852,0.78,0.9427
