k_ties,seed,cost_alpha,n_qubits,n_terms,n_approximate_terms,mean_witness_size,max_witness_size_used,mean_term_leakage_rate,fully_connected,cx_count,depth,unsafe_rate,mean_feasible_mass
6,0,0.0,13,11,7,3.36,6,0.0457,True,9886,18632,0.31,0.9902
6,0,0.0005,13,11,7,2.73,5,0.054,True,3954,7800,0.23,0.989
6,0,0.001,13,11,7,2.36,5,0.0582,True,2902,5700,0.23,0.9878
6,0,0.005,13,11,7,2.09,4,0.074,True,1902,3708,0.25,0.9793
6,0,0.01,13,11,7,1.18,3,0.1092,True,1272,2471,0.07,0.9908
6,0,0.05,13,11,7,0.64,2,0.1538,True,436,836,0.14,0.9737
6,1,0.0,13,12,9,4.5,6,0.023,True,10324,20183,0.15,0.9951
6,1,0.0005,13,12,9,3.67,6,0.0268,True,5962,11833,0.15,0.9953
6,1,0.001,13,12,9,2.75,5,0.0427,True,3570,7029,0.19,0.9944
6,1,0.005,13,12,9,1.25,3,0.0709,True,922,1804,0.32,0.9888
6,1,0.01,13,12,9,0.92,3,0.0828,True,606,1175,0.33,0.9843
6,1,0.05,13,12,9,0.5,2,0.1063,True,292,571,0.0,1.0
6,2,0.0,13,10,8,4.1,6,0.0,True,19618,37750,0.0,1.0
6,2,0.0005,13,10,8,4.1,6,0.0,True,19618,37750,0.0,1.0
6,2,0.001,13,10,8,3.8,5,0.0097,True,14902,29441,0.1,0.993
6,2,0.005,13,10,8,2.0,4,0.0808,True,1882,3647,0.24,0.9897
6,2,0.01,13,10,8,1.9,3,0.0875,True,1316,2517,0.39,0.9873
6,2,0.05,13,10,8,1.0,2,0.1638,True,616,1139,0.39,0.9661
8,0,0.0,15,14,11,4.57,6,0.027,True,12182,24173,0.21,0.9902
8,0,0.0005,15,14,11,3.93,6,0.0317,True,8248,16386,0.21,0.9902
8,0,0.001,15,14,11,3.0,6,0.0424,True,5450,10887,0.23,0.9887
8,0,0.005,15,14,11,1.43,4,0.0782,True,1614,3115,0.3,0.9886
8,0,0.01,15,14,11,0.93,2,0.0936,True,668,1249,0.22,0.9912
8,0,0.05,15,14,11,0.86,2,0.1027,True,604,1142,0.38,0.9852
8,1,0.0,15,14,10,3.43,6,0.0267,True,5782,11171,0.14,0.9952
8,1,0.0005,15,14,10,2.21,6,0.0326,True,3078,6037,0.0,1.0
8,1,0.001,15,14,10,1.43,5,0.0411,True,2132,4179,0.0,1.0
8,1,0.005,15,14,10,1.29,4,0.0471,True,1186,2335,0.0,1.0
8,1,0.01,15,14,10,0.71,3,0.0643,True,608,1196,0.0,1.0
8,1,0.05,15,14,10,0.29,2,0.0864,True,188,380,0.0,1.0
8,2,0.0,15,13,11,4.46,6,0.0388,True,8778,16933,0.14,0.9981
8,2,0.0005,15,13,11,3.54,6,0.0433,True,5462,10775,0.05,0.9989
8,2,0.001,15,13,11,3.0,6,0.0462,True,3990,7876,0.05,0.9989
8,2,0.005,15,13,11,1.69,4,0.0723,True,1412,2757,0.0,1.0
8,2,0.01,15,13,11,1.08,3,0.0895,True,676,1297,0.11,0.9961
8,2,0.05,15,13,11,0.38,2,0.1439,True,252,485,0.04,0.9964
10,0,0.0,17,16,14,5.06,6,0.0637,True,17386,34780,0.27,0.9879
10,0,0.0005,17,16,14,4.44,6,0.0662,True,13152,26239,0.29,0.9843
10,0,0.001,17,16,14,3.5,6,0.0766,True,8784,17524,0.28,0.9862
10,0,0.005,17,16,14,1.56,3,0.1068,True,1296,2458,0.22,0.9938
10,0,0.01,17,16,14,1.12,3,0.117,True,876,1630,0.19,0.9947
10,0,0.05,17,16,14,0.06,1,0.2072,True,44,100,0.0,1.0
10,1,0.0,17,16,16,5.69,6,0.0653,True,25154,49579,0.78,0.9665
10,1,0.0005,17,16,16,3.81,6,0.0736,True,12792,24918,0.75,0.9734
10,1,0.001,17,16,16,3.31,6,0.077,True,11298,22019,0.75,0.9741
10,1,0.005,17,16,16,1.69,4,0.1072,True,2338,4628,0.35,0.9909
10,1,0.01,17,16,16,0.94,3,0.1237,True,658,1315,0.0,1.0
10,1,0.05,17,16,16,0.12,1,0.1767,True,88,200,0.42,0.9745
10,2,0.0,17,15,15,5.93,6,0.1155,True,32520,64372,0.64,0.9575
10,2,0.0005,17,15,15,5.4,6,0.1212,True,24522,48133,0.61,0.9547
10,2,0.001,17,15,15,4.73,6,0.1322,True,16098,31269,0.62,0.9636
10,2,0.005,17,15,15,3.2,4,0.1652,True,4430,8487,0.65,0.9583
10,2,0.01,17,15,15,2.8,4,0.1811,True,3460,6609,0.71,0.9392
10,2,0.05,17,15,15,0.13,1,0.3245,True,104,233,0.89,0.8968
