n_nodes,seed,n_qubits,n_terms,n_exact_terms,n_approximate_terms,fully_connected,cx_count,total_gate_count,depth,transpile_elapsed_s
10,0,14,30,0,30,True,91968,251011,180418,2.01
10,1,14,27,0,27,True,103544,280159,199579,2.3
10,2,14,29,0,29,True,71300,194246,139681,1.46
30,0,34,106,4,102,True,79222,214134,144567,2.02
30,1,34,80,1,79,True,33404,90955,61495,0.72
30,2,34,104,7,97,True,61670,167000,113033,1.46
60,0,64,203,120,83,True,45466,123344,78898,1.15
60,1,64,116,44,72,True,36386,99660,66935,0.84
60,2,64,130,44,86,True,77764,209716,139656,2.0
100,0,104,124,85,39,True,27436,74864,49638,0.69
100,1,104,146,96,50,True,29016,78604,51644,0.7
100,2,104,129,89,40,True,23276,63492,40445,0.6
150,0,154,112,97,15,True,17530,47796,31149,0.46
150,1,154,144,124,20,True,16938,46654,29607,0.48
150,2,154,115,93,22,True,18698,50963,32548,0.49
