k_ties,seed,n_qubits,n_spanning_trees,exact_n_terms,exact_dropped,exact_fully_connected,exact_cx_count,exact_depth,truncated_n_terms,truncated_n_approximate_terms,truncated_fully_connected,truncated_cx_count,truncated_depth
2,0,9,9,4,0,True,16,23,4,0,True,16,23
2,1,9,9,4,0,True,16,23,4,0,True,16,23
2,2,9,8,4,0,True,124,271,4,0,True,124,271
2,3,9,11,5,0,True,192,383,5,0,True,192,383
4,0,11,48,7,0,True,536,1082,7,0,True,536,1082
4,1,11,87,9,0,True,796,1514,9,1,True,586,1110
4,2,11,40,7,0,True,3564,7067,7,5,True,3564,7050
4,3,11,55,8,0,True,1586,3062,8,2,True,1586,3062
6,0,13,272,11,6,True,5258,10470,11,7,True,9886,18632
6,1,13,465,4,71,False,88,186,12,9,True,10324,20183
6,2,13,225,8,30,False,3140,5924,10,8,True,19618,37750
6,3,13,185,3,51,False,572,1007,10,10,True,10282,20273
8,0,15,1216,14,10,True,6146,11990,14,11,True,12182,24173
8,1,15,1339,4,95,False,188,380,14,10,True,5782,11171
8,2,15,828,2,88,False,44,100,13,11,True,8778,16933
8,3,15,1308,4,101,False,88,188,14,14,True,22664,44528
10,0,17,3449,2,133,False,44,100,16,14,True,17386,34780
10,1,17,4181,0,136,False,0,0,16,16,True,25154,49579
10,2,17,2052,2,117,False,44,100,15,15,True,32520,64372
10,3,17,3710,3,133,False,84,188,16,16,True,32336,62922
