n_nodes,seed,max_witness_size,n_qubits,n_walked_trees,n_terms,n_approximate_terms,mean_term_leakage_rate,fully_connected,cx_count,depth,n_starting_trees_surveyed,unsafe_rate,mean_feasible_mass,worst_feasible_mass
10,0,2,14,267,30,30,0.2264,True,3108,5794,100,0.2,0.99,0.8692
10,0,3,14,267,30,30,0.2066,True,7684,14644,100,0.43,0.988,0.7892
10,0,4,14,267,30,30,0.1939,True,16558,32821,100,0.53,0.9875,0.7556
10,0,5,14,267,30,30,0.1566,True,49762,99649,100,0.28,0.9913,0.8692
10,0,6,14,267,30,30,0.1404,True,91968,180418,100,0.5,0.98,0.8005
10,1,2,14,267,27,27,0.2031,True,1536,2805,100,0.32,0.9847,0.798
10,1,3,14,267,27,27,0.1813,True,5894,11364,100,0.49,0.9784,0.7581
10,1,4,14,267,27,27,0.1579,True,15702,31310,100,0.58,0.9602,0.7685
10,1,5,14,267,27,27,0.1283,True,42582,85457,100,0.65,0.9589,0.7556
10,1,6,14,267,27,27,0.1032,True,103544,199579,100,0.52,0.9627,0.7727
10,2,2,14,246,29,29,0.1863,True,2320,4144,100,0.12,0.9977,0.9141
10,2,3,14,246,29,29,0.1765,True,4768,9062,100,0.13,0.993,0.8863
10,2,4,14,246,29,29,0.1552,True,14600,28830,100,0.23,0.9923,0.8005
10,2,5,14,246,29,29,0.1367,True,37190,74349,100,0.23,0.9922,0.8692
10,2,6,14,246,29,29,0.1266,True,71300,139681,100,0.35,0.9791,0.6396
60,0,2,64,277,203,83,0.0858,True,14488,24025,100,0.1,0.9863,0.7016
60,0,3,64,277,203,83,0.0798,True,18434,31380,100,0.13,0.982,0.7556
60,0,4,64,277,203,83,0.0748,True,24130,41762,100,0.17,0.9779,0.6568
60,0,5,64,277,203,83,0.0711,True,31466,55298,100,0.05,0.9959,0.8692
60,0,6,64,277,203,83,0.0673,True,45466,78898,100,0.08,0.9897,0.7556
60,1,2,64,190,116,72,0.2197,True,7404,13051,100,0.18,0.9945,0.8692
60,1,3,64,190,116,72,0.2057,True,11206,20617,100,0.19,0.9878,0.7704
60,1,4,64,190,116,72,0.1919,True,18380,34161,100,0.3,0.9844,0.8662
60,1,5,64,190,116,72,0.1862,True,25864,49212,100,0.14,0.9878,0.8675
60,1,6,64,190,116,72,0.1834,True,36386,66935,100,0.26,0.9869,0.8631
60,2,2,64,193,130,86,0.1786,True,9320,16552,100,0.24,0.9829,0.7556
60,2,3,64,193,130,86,0.1557,True,16464,30134,100,0.3,0.9766,0.7556
60,2,4,64,193,130,86,0.1346,True,27750,52258,100,0.31,0.9598,0.7426
60,2,5,64,193,130,86,0.1268,True,40234,75361,100,0.28,0.9745,0.7556
60,2,6,64,193,130,86,0.1146,True,77764,139656,100,0.29,0.9657,0.7556
150,0,2,154,126,112,15,0.1897,True,8552,15653,100,0.06,0.9988,0.9012
150,0,3,154,126,112,15,0.1881,True,8656,15782,100,0.07,0.9987,0.8863
150,0,4,154,126,112,15,0.161,True,11114,20528,100,0.15,0.9986,0.8692
150,0,5,154,126,112,15,0.1622,True,12542,23085,100,0.19,0.9972,0.8849
150,0,6,154,126,112,15,0.1463,True,17530,31149,100,0.14,0.9943,0.8863
150,1,2,154,162,144,20,0.2317,True,10976,18907,100,0.27,0.9861,0.8596
150,1,3,154,162,144,20,0.2132,True,11252,19389,100,0.21,0.9807,0.8692
150,1,4,154,162,144,20,0.2235,True,11790,20417,100,0.33,0.9764,0.7834
150,1,5,154,162,144,20,0.2095,True,15810,27372,100,0.26,0.9802,0.8692
150,1,6,154,162,144,20,0.1921,True,16938,29607,100,0.21,0.9826,0.8598
150,2,2,154,151,115,22,0.1793,True,8856,15099,100,0.05,0.9926,0.7556
150,2,3,154,151,115,22,0.1722,True,10016,17244,100,0.12,0.9812,0.7556
150,2,4,154,151,115,22,0.1662,True,11772,20662,100,0.06,0.9912,0.7556
150,2,5,154,151,115,22,0.1502,True,16134,28768,100,0.02,0.9976,0.7556
150,2,6,154,151,115,22,0.1488,True,18698,32548,100,0.08,0.9886,0.7556
