k_ties,seed,max_witness_size,n_qubits,n_spanning_trees,n_terms,n_approximate_terms,mean_term_leakage_rate,fully_connected,cx_count,depth,n_starting_trees_surveyed,unsafe_rate,mean_feasible_mass,worst_feasible_mass
6,0,2,13,272,11,7,0.1284,True,928,1761,100,0.49,0.9611,0.6879
6,0,3,13,272,11,7,0.0999,True,1796,3486,100,0.32,0.9819,0.7901
6,0,4,13,272,11,7,0.0661,True,2218,4353,100,0.24,0.9887,0.7914
6,0,5,13,272,11,7,0.0519,True,4922,9828,100,0.37,0.9856,0.9012
6,0,6,13,272,11,7,0.0457,True,9886,18632,100,0.34,0.9954,0.9226
6,1,2,13,465,12,9,0.1141,True,500,931,100,0.67,0.9706,0.7982
6,1,3,13,465,12,9,0.0782,True,924,1841,100,0.33,0.9929,0.9012
6,1,4,13,465,12,9,0.0716,True,2186,4348,100,0.4,0.9842,0.8153
6,1,5,13,465,12,9,0.0518,True,5778,11502,100,0.46,0.9855,0.8863
6,1,6,13,465,12,9,0.023,True,10324,20183,100,0.15,0.9961,0.9012
6,2,2,13,225,10,8,0.1151,True,848,1638,100,0.46,0.9758,0.8102
6,2,3,13,225,10,8,0.0875,True,1082,2069,100,0.0,1.0,1.0
6,2,4,13,225,10,8,0.051,True,4280,8316,100,0.16,0.9962,0.9141
6,2,5,13,225,10,8,0.0097,True,14902,29406,100,0.14,0.9943,0.8153
6,2,6,13,225,10,8,0.0,True,19618,37750,100,0.0,1.0,1.0
8,0,2,15,1216,14,11,0.0936,True,668,1249,100,0.11,0.9942,0.8863
8,0,3,15,1216,14,11,0.0936,True,668,1249,100,0.16,0.9939,0.8863
8,0,4,15,1216,14,11,0.075,True,4468,8866,100,0.7,0.9642,0.7819
8,0,5,15,1216,14,11,0.0456,True,5380,10696,100,0.25,0.9886,0.8822
8,0,6,15,1216,14,11,0.027,True,12182,24173,100,0.22,0.9927,0.8692
8,1,2,15,1339,14,10,0.0785,True,396,762,100,0.23,0.9879,0.8131
8,1,3,15,1339,14,10,0.0617,True,818,1617,100,0.29,0.9894,0.8883
8,1,4,15,1339,14,10,0.0594,True,1186,2349,100,0.3,0.9885,0.8883
8,1,5,15,1339,14,10,0.0412,True,3394,6707,100,0.3,0.9902,0.89
8,1,6,15,1339,14,10,0.0267,True,5782,11171,100,0.14,0.9937,0.8863
8,2,2,15,828,13,11,0.1085,True,564,1061,100,0.56,0.9707,0.8563
8,2,3,15,828,13,11,0.0901,True,1096,2117,100,0.48,0.9831,0.7875
8,2,4,15,828,13,11,0.0816,True,1728,3386,100,0.14,0.9834,0.7016
8,2,5,15,828,13,11,0.0556,True,5340,10549,100,0.24,0.9898,0.7875
8,2,6,15,828,13,11,0.0388,True,8778,16933,100,0.15,0.9989,0.9829
10,0,2,17,3449,16,14,0.1141,True,876,1630,100,0.29,0.9891,0.8863
10,0,3,17,3449,16,14,0.1127,True,1302,2463,100,0.45,0.9775,0.7836
10,0,4,17,3449,16,14,0.1024,True,4520,8980,100,0.52,0.9561,0.697
10,0,5,17,3449,16,14,0.0755,True,9956,20029,100,0.39,0.9746,0.7526
10,0,6,17,3449,16,14,0.0637,True,17386,34780,100,0.27,0.9865,0.7834
10,1,2,17,4181,16,16,0.1273,True,1008,1936,100,0.67,0.9607,0.7763
10,1,3,17,4181,16,16,0.111,True,1704,3276,100,0.64,0.964,0.7704
10,1,4,17,4181,16,16,0.1031,True,2662,5132,100,0.42,0.9836,0.7787
10,1,5,17,4181,16,16,0.0816,True,13772,27365,100,0.84,0.962,0.7068
10,1,6,17,4181,16,16,0.0653,True,25154,49579,100,0.7,0.9849,0.8507
10,2,2,17,2052,15,15,0.2294,True,1368,2648,100,0.89,0.91,0.6568
10,2,3,17,2052,15,15,0.1761,True,3734,7108,100,0.76,0.944,0.6494
10,2,4,17,2052,15,15,0.1527,True,5960,11528,100,0.62,0.9573,0.7556
10,2,5,17,2052,15,15,0.1328,True,13964,27150,100,0.65,0.9622,0.7199
10,2,6,17,2052,15,15,0.1155,True,32520,64372,100,0.66,0.977,0.8272
