target_zones,subproblem,n_nodes,n_qubits,num_spanning_trees,term_count,max_witness_size,dropped_candidates,fully_connected,no_leakage_verified,cx_count,total_gate_count,depth
3,target_zones=3/zone_0,15,16,40,10,4,0,True,True,7904,22011,15782
3,target_zones=3/zone_1,11,10,1,0,0,0,True,True,0,0,0
3,target_zones=3/zone_2,7,6,1,0,0,0,True,True,0,0,0
3,target_zones=3/assembly,3,5,8,4,1,0,True,True,124,380,274
4,target_zones=4/zone_0,11,10,1,0,0,0,True,True,0,0,0
4,target_zones=4/zone_1,7,6,1,0,0,0,True,True,0,0,0
4,target_zones=4/zone_2,9,8,1,0,0,0,True,True,0,0,0
4,target_zones=4/zone_3,6,5,1,0,0,0,True,True,0,0,0
4,target_zones=4/assembly,4,8,24,6,1,0,True,True,132,415,272
5,target_zones=5/zone_0,9,8,1,0,0,0,True,True,0,0,0
5,target_zones=5/zone_1,7,6,1,0,0,0,True,True,0,0,0
5,target_zones=5/zone_2,6,5,1,0,0,0,True,True,0,0,0
5,target_zones=5/zone_3,5,4,1,0,0,0,True,True,0,0,0
5,target_zones=5/zone_4,6,5,1,0,0,0,True,True,0,0,0
5,target_zones=5/assembly,5,9,48,7,2,0,True,True,552,1542,1128
6,target_zones=6/zone_0,7,6,1,0,0,0,True,True,0,0,0
6,target_zones=6/zone_1,6,5,1,0,0,0,True,True,0,0,0
6,target_zones=6/zone_2,6,5,1,0,0,0,True,True,0,0,0
6,target_zones=6/zone_3,5,4,1,0,0,0,True,True,0,0,0
6,target_zones=6/zone_4,5,4,1,0,0,0,True,True,0,0,0
6,target_zones=6/zone_5,4,3,1,0,0,0,True,True,0,0,0
6,target_zones=6/assembly,6,10,104,9,4,4,True,True,3686,9948,7237
